"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Errata","",,IEEE Latin America Transactions,"11 Dec 2024","2024","22","12","1084","1084","Presents corrections to the paper, Hydrokinetic energy potential in Argentine estuaries with high tidal ranges, by Bindelli, Re and Kazimierski (2023).","1548-0992","","10.1109/TLA.2024.10789628","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10789628","Errata","Estuaries;Numerical models","","","","","IEEE","11 Dec 2024","","","IEEE","IEEE Journals"
"Inside Front Cover","",,Journal of Systems Engineering and Electronics,"13 Nov 2024","2024","35","5","1","1","","1004-4132","","10.23919/JSEE.2024.10752096","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10752096","","Systems engineering and theory;Indexes;Aerospace electronics;Systems simulation;Systems modeling;Social networking (online);Reviews;Reliability theory;Reliability engineering;QR codes","","","","","","13 Nov 2024","","","BIAI","BIAI Journals"
"Back cover","",,Journal of Communications and Networks,"1 Jul 2024","2024","26","3","c4","c4","","1976-5541","","10.23919/JCN.2024.000036","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10579723","","Wireless communication;Heuristic algorithms;Dynamic scheduling;Task analysis;Routing;Processor scheduling;Peak to average power ratio","","","","","","1 Jul 2024","","","KICS","KICS Journals"
"Table of Contents June 2024","",,IEEE Latin America Transactions,"20 May 2024","2024","22","6","442","442","","1548-0992","","10.1109/TLA.2024.10534303","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10534303","","Masers;COVID-19;Waste materials;Semiconductor lasers;Protection;Power systems;Power semiconductor devices","","","","","IEEE","20 May 2024","","","IEEE","IEEE Journals"
"Inside Front Cover","",,Journal of Systems Engineering and Electronics,"18 Mar 2024","2024","35","1","1","1","","1004-4132","","10.23919/JSEE.2024.10474087","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10474087","","Radar detection;Object detection;Interference suppression;Clutter;Radar signal processing;Radar polarimetry;Radar clutter","","","","","","18 Mar 2024","","","BIAI","BIAI Journals"
"Front cover","",,Journal of Communications and Networks,"7 May 2024","2024","26","2","c1","c1","","1976-5541","","10.23919/JCN.2024.000022","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10522518","","Federated learning;Blockchains;Wireless communication;Task analysis;Road transportation;Resource management;Quality of service","","","","","","7 May 2024","","","KICS","KICS Journals"
"Front cover","",,Journal of Communications and Networks,"4 Sep 2024","2024","26","4","c1","c1","","1976-5541","","10.23919/JCN.2024.000045","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10666070","","Wireless communication;Uplink;Parity check codes;NOMA;Full-duplex system;Frequency diversity;Fading channels","","","","","","4 Sep 2024","","","KICS","KICS Journals"
"Front cover","",,Journal of Communications and Networks,"4 Mar 2024","2024","26","1","c1","c1","","1976-5541","","10.23919/JCN.2024.000012","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10459142","","Wireless communication;Uplink;Time-varying channels;Statistical analysis;Resource management;Quality of service;Overlay networks","","","","","","4 Mar 2024","","","KICS","KICS Journals"
"Table of Contents January 2024","",,IEEE Latin America Transactions,"28 Dec 2023","2024","22","1","1","1","","1548-0992","","10.1109/TLA.2024.10375728","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10375728","","Transmission line measurements;IEEE transactions;Wireless fidelity;Wave energy conversion;Visible light communication;Standards;Stacking","","","","","IEEE","28 Dec 2023","","","IEEE","IEEE Journals"
"Table of Contents December 2024","",,IEEE Latin America Transactions,"11 Dec 2024","2024","22","12","990","990","","1548-0992","","10.1109/TLA.2024.10789629","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10789629","","Data models;Analytical models;Wind farms;Time series analysis;Text to image;Stability analysis;Soft sensors;Satellites;Radiation effects;Prevention and mitigation","","","","","IEEE","11 Dec 2024","","","IEEE","IEEE Journals"
"Front cover","",,Journal of Communications and Networks,"1 Jul 2024","2024","26","3","c1","c1","","1976-5541","","10.23919/JCN.2024.000035","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10579718","","Wireless communication;Heuristic algorithms;Dynamic scheduling;Task analysis;Routing;Processor scheduling;Peak to average power ratio","","","","","","1 Jul 2024","","","KICS","KICS Journals"
