"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Image quality assessment: from error visibility to structural similarity","Zhou Wang; A. C. Bovik; H. R. Sheikh; E. P. Simoncelli","Howard Hughes Medical Institute, Center for Neural Science and the Courant Institute for Mathematical Sciences, New York University, New York, NY, USA; Laboratory for Image and Video Engineering (LIVE), Department of Electrical and Computer Engineering, University of Texas, Austin, Austin, TX, USA; Laboratory for Image and Video Engineering (LIVE), Department of Electrical and Computer Engineering, University of Texas, Austin, Austin, TX, USA; Howard Hughes Medical Institute, Center for Neural Science and the Courant Institute for Mathematical Sciences, New York University, New York, NY, USA",IEEE Transactions on Image Processing,"13 Apr 2004","2004","13","4","600","612","Objective methods for assessing perceptual image quality traditionally attempted to quantify the visibility of errors (differences) between a distorted image and a reference image using a variety of known properties of the human visual system. Under the assumption that human visual perception is highly adapted for extracting structural information from a scene, we introduce an alternative complementary framework for quality assessment based on the degradation of structural information. As a specific example of this concept, we develop a structural similarity index and demonstrate its promise through a set of intuitive examples, as well as comparison to both subjective ratings and state-of-the-art objective methods on a database of images compressed with JPEG and JPEG2000. A MATLAB implementation of the proposed algorithm is available online at http://www.cns.nyu.edu//spl sim/lcv/ssim/.","1941-0042","","10.1109/TIP.2003.819861","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1284395","","Image quality;Humans;Transform coding;Visual system;Visual perception;Data mining;Layout;Quality assessment;Degradation;Indexes","Algorithms;Data Interpretation, Statistical;Hypermedia;Image Enhancement;Image Enhancement;Image Interpretation, Computer-Assisted;Image Interpretation, Computer-Assisted;Information Storage and Retrieval;Information Storage and Retrieval;Models, Statistical;Pattern Recognition, Automated;Quality Control;Reproducibility of Results;Sensitivity and Specificity;Signal Processing, Computer-Assisted;Subtraction Technique","37584","311","58","IEEE","13 Apr 2004","","","IEEE","IEEE Journals"
"Consensus problems in networks of agents with switching topology and time-delays","R. Olfati-Saber; R. M. Murray","Department of Control and Dynamical Systems, California Institute of Technology, Pasadena, CA, USA; Department of Control and Dynamical Systems, California Institute of Technology, Pasadena, CA, USA",IEEE Transactions on Automatic Control,"13 Sep 2004","2004","49","9","1520","1533","In this paper, we discuss consensus problems for networks of dynamic agents with fixed and switching topologies. We analyze three cases: 1) directed networks with fixed topology; 2) directed networks with switching topology; and 3) undirected networks with communication time-delays and fixed topology. We introduce two consensus protocols for networks with and without time-delays and provide a convergence analysis in all three cases. We establish a direct connection between the algebraic connectivity (or Fiedler eigenvalue) of the network and the performance (or negotiation speed) of a linear consensus protocol. This required the generalization of the notion of algebraic connectivity of undirected graphs to digraphs. It turns out that balanced digraphs play a key role in addressing average-consensus problems. We introduce disagreement functions for convergence analysis of consensus protocols. A disagreement function is a Lyapunov function for the disagreement network dynamics. We proposed a simple disagreement function that is a common Lyapunov function for the disagreement dynamics of a directed network with switching topology. A distinctive feature of this work is to address consensus problems for networks with directed information flow. We provide analytical tools that rely on algebraic graph theory, matrix theory, and control theory. Simulations are provided that demonstrate the effectiveness of our theoretical results.","1558-2523","","10.1109/TAC.2004.834113","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1333204","","Intelligent networks;Network topology;Vehicle dynamics;Communication switching;Protocols;Control systems;Convergence;Laplace equations;Automatic control;Communication system control","","10555","7","39","IEEE","13 Sep 2004","","","IEEE","IEEE Journals"
"Cooperative diversity in wireless networks: Efficient protocols and outage behavior","J. N. Laneman; D. N. C. Tse; G. W. Wornell","Department of Electrical Engineering and Computer Science, Massachusetts Institute of Technology, Cambridge, UK; Department of Electrical Engineering and Computer Science, University of California, Berkeley, CA, USA; Department of Electrical Engineering and Computer Science, Massachusetts Institute of Technology, Cambridge, MA, USA",IEEE Transactions on Information Theory,"30 Nov 2004","2004","50","12","3062","3080","We develop and analyze low-complexity cooperative diversity protocols that combat fading induced by multipath propagation in wireless networks. The underlying techniques exploit space diversity available through cooperating terminals' relaying signals for one another. We outline several strategies employed by the cooperating radios, including fixed relaying schemes such as amplify-and-forward and decode-and-forward, selection relaying schemes that adapt based upon channel measurements between the cooperating terminals, and incremental relaying schemes that adapt based upon limited feedback from the destination terminal. We develop performance characterizations in terms of outage events and associated outage probabilities, which measure robustness of the transmissions to fading, focusing on the high signal-to-noise ratio (SNR) regime. Except for fixed decode-and-forward, all of our cooperative diversity protocols are efficient in the sense that they achieve full diversity (i.e., second-order diversity in the case of two terminals), and, moreover, are close to optimum (within 1.5 dB) in certain regimes. Thus, using distributed antennas, we can provide the powerful benefits of space diversity without need for physical arrays, though at a loss of spectral efficiency due to half-duplex operation and possibly at the cost of additional receive hardware. Applicable to any wireless setting, including cellular or ad hoc networks-wherever space constraints preclude the use of physical arrays-the performance characterizations reveal that large power or energy savings result from the use of these protocols.","1557-9654","","10.1109/TIT.2004.838089","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1362898","Diversity techniques;fading channels;outage probability;relay channel;user cooperation;wireless networks","Wireless networks;Wireless application protocol;Relays;Fading;Decoding;Feedback;Robustness;Signal to noise ratio;Receiving antennas;Antenna arrays","","10294","68","42","IEEE","30 Nov 2004","","","IEEE","IEEE Journals"
"YALMIP : a toolbox for modeling and optimization in MATLAB","J. Lofberg","Automatic Control Laboratory, ETH Zurich, Zurich, Switzerland",2004 IEEE International Conference on Robotics and Automation (IEEE Cat. No.04CH37508),"22 Feb 2005","2004","","","284","289","The MATLAB toolbox YALMIP is introduced. It is described how YALMIP can be used to model and solve optimization problems typically occurring in systems and control theory. In this paper, free MATLAB toolbox YALMIP, developed initially to model SDPs and solve these by interfacing eternal solvers. The toolbox makes development of optimization problems in general, and control oriented SDP problems in particular, extremely simple. In fact, learning 3 YALMIP commands is enough for most users to model and solve the optimization problems","","0-7803-8636-1","10.1109/CACSD.2004.1393890","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1393890","","Mathematical model;MATLAB;Quadratic programming;Linear programming;Riccati equations;Integer linear programming;Control theory;Control systems;Automatic control;Robust control","","5351","","21","IEEE","22 Feb 2005","","","IEEE","IEEE Conferences"
"Unscented filtering and nonlinear estimation","S. J. Julier; J. K. Uhlmann","IDAK Industries, Jefferson, MO, USA; Department of Computer Engineering and Computer Science, University of Missouri, Columbia, Columbia, MO, USA",Proceedings of the IEEE,"8 Nov 2004","2004","92","3","401","422","The extended Kalman filter (EKF) is probably the most widely used estimation algorithm for nonlinear systems. However, more than 35 years of experience in the estimation community has shown that is difficult to implement, difficult to tune, and only reliable for systems that are almost linear on the time scale of the updates. Many of these difficulties arise from its use of linearization. To overcome this limitation, the unscented transformation (UT) was developed as a method to propagate mean and covariance information through nonlinear transformations. It is more accurate, easier to implement, and uses the same order of calculations as linearization. This paper reviews the motivation, development, use, and implications of the UT.","1558-2256","","10.1109/JPROC.2003.823141","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1271397","","Filtering;Nonlinear systems;Target tracking;Control systems;Particle tracking;Kalman filters;Vehicles;Navigation;Chemical processes;Nonlinear control systems","","4957","21","52","IEEE","8 Nov 2004","","","IEEE","IEEE Journals"
"Information flow and cooperative control of vehicle formations","J. A. Fax; R. M. Murray","Northrop Grumman Electronic Systems, Woodland Hills, CA, USA; Department of Control and Dynamical Systems, California Institute of Technology, Pasadena, CA, USA",IEEE Transactions on Automatic Control,"13 Sep 2004","2004","49","9","1465","1476","We consider the problem of cooperation among a collection of vehicles performing a shared task using intervehicle communication to coordinate their actions. Tools from algebraic graph theory prove useful in modeling the communication network and relating its topology to formation stability. We prove a Nyquist criterion that uses the eigenvalues of the graph Laplacian matrix to determine the effect of the communication topology on formation stability. We also propose a method for decentralized information exchange between vehicles. This approach realizes a dynamical system that supplies each vehicle with a common reference to be used for cooperative motion. We prove a separation principle that decomposes formation stability into two components: Stability of this is achieved information flow for the given graph and stability of an individual vehicle for the given controller. The information flow can thus be rendered highly robust to changes in the graph, enabling tight formation control despite limitations in intervehicle communication capability.","1558-2523","","10.1109/TAC.2004.834433","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1333200","","Vehicles;Communication system control;Network topology;Graph theory;Communication networks;Eigenvalues and eigenfunctions;Laplace equations;Matrix decomposition;Stability criteria;Robust control","","3845","3","32","IEEE","13 Sep 2004","","","IEEE","IEEE Journals"
"Basic concepts and taxonomy of dependable and secure computing","A. Avizienis; J. . -C. Laprie; B. Randell; C. Landwehr","Vytautas Magnus University, Kaunas, Lithuania; LAAS, CNRS, Toulouse, France; School of Computing Science, University of Newcastle, UK; Institute of Systems Research, University of Maryland, College Park, MD, USA",IEEE Transactions on Dependable and Secure Computing,"4 Oct 2004","2004","1","1","11","33","This paper gives the main definitions relating to dependability, a generic concept including a special case of such attributes as reliability, availability, safety, integrity, maintainability, etc. Security brings in concerns for confidentiality, in addition to availability and integrity. Basic definitions are given first. They are then commented upon, and supplemented by additional definitions, which address the threats to dependability and security (faults, errors, failures), their attributes, and the means for their achievement (fault prevention, fault tolerance, fault removal, fault forecasting). The aim is to explicate a set of general concepts, of relevance across a wide range of situations and, therefore, helping communication and cooperation among a number of scientific and technical communities, including ones that are concentrating on particular types of system, of system failures, or of causes of system failures.","1941-0018","","10.1109/TDSC.2004.2","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1335465","Index Terms- Dependability;security;trust;faults;errors;failures;vulnerabilities;attacks;fault tolerance;fault removal;fault forecasting.","Taxonomy;Availability;Fault tolerance;Safety;Maintenance;Communication system security;Uncertainty;Standardization;Books","","3546","18","70","IEEE","4 Oct 2004","","","IEEE","IEEE Journals"
"HEED: a hybrid, energy-efficient, distributed clustering approach for ad hoc sensor networks","O. Younis; S. Fahmy","Department of Computer Sciences, Purdue University, West Lafayette, IN, USA; Department of Computer Sciences, Purdue University, West Lafayette, IN, USA",IEEE Transactions on Mobile Computing,"25 Oct 2004","2004","3","4","366","379","Topology control in a sensor network balances load on sensor nodes and increases network scalability and lifetime. Clustering sensor nodes is an effective topology control approach. We propose a novel distributed clustering approach for long-lived ad hoc sensor networks. Our proposed approach does not make any assumptions about the presence of infrastructure or about node capabilities, other than the availability of multiple power levels in sensor nodes. We present a protocol, HEED (Hybrid Energy-Efficient Distributed clustering), that periodically selects cluster heads according to a hybrid of the node residual energy and a secondary parameter, such as node proximity to its neighbors or node degree. HEED terminates in O(1) iterations, incurs low message overhead, and achieves fairly uniform cluster head distribution across the network. We prove that, with appropriate bounds on node density and intracluster and intercluster transmission ranges, HEED can asymptotically almost surely guarantee connectivity of clustered networks. Simulation results demonstrate that our proposed approach is effective in prolonging the network lifetime and supporting scalable data aggregation.","1558-0660","","10.1109/TMC.2004.41","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1347100","Index Terms- Sensor networks;clustering;network lifetime;energy efficiency;fault tolerance.","Energy efficiency;Energy consumption;Chemical sensors;Scalability;Sensor phenomena and characterization;Network topology;Delay;Routing protocols;Availability;Fault tolerance","","3482","3","45","IEEE","25 Oct 2004","","","IEEE","IEEE Journals"
"An experimental comparison of min-cut/max- flow algorithms for energy minimization in vision","Y. Boykov; V. Kolmogorov","Computer Science Department, University of Western Ontario, London, ONT, Canada; Microsoft Research, Cambridge, UK",IEEE Transactions on Pattern Analysis and Machine Intelligence,"26 Jul 2004","2004","26","9","1124","1137","Minimum cut/maximum flow algorithms on graphs have emerged as an increasingly useful tool for exactor approximate energy minimization in low-level vision. The combinatorial optimization literature provides many min-cut/max-flow algorithms with different polynomial time complexity. Their practical efficiency, however, has to date been studied mainly outside the scope of computer vision. The goal of this paper is to provide an experimental comparison of the efficiency of min-cut/max flow algorithms for applications in vision. We compare the running times of several standard algorithms, as well as a new algorithm that we have recently developed. The algorithms we study include both Goldberg-Tarjan style ""push -relabel"" methods and algorithms based on Ford-Fulkerson style ""augmenting paths."" We benchmark these algorithms on a number of typical graphs in the contexts of image restoration, stereo, and segmentation. In many cases, our new algorithm works several times faster than any of the other methods, making near real-time performance possible. An implementation of our max-flow/min-cut algorithm is available upon request for research purposes.","1939-3539","","10.1109/TPAMI.2004.60","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1316848","Index Terms- Energy minimization;graph algorithms;minimum cut;maximum flow;image restoration;segmentation;stereo;multicamera scene reconstruction.","Minimization methods;Image restoration;Stereo vision;Labeling;Iterative algorithms;Clustering algorithms;Computer vision;Application software;Image segmentation;Simulated annealing","Algorithms;Artificial Intelligence;Cluster Analysis;Energy Transfer;Image Enhancement;Image Interpretation, Computer-Assisted;Imaging, Three-Dimensional;Information Storage and Retrieval;Pattern Recognition, Automated;Photogrammetry;Photography;Reproducibility of Results;Sensitivity and Specificity","3388","96","40","IEEE","26 Jul 2004","","","IEEE","IEEE Journals"
"Handling multiple objectives with particle swarm optimization","C. A. C. Coello; G. T. Pulido; M. S. Lechuga","Sección de Computación, Departamento de Ing. Eléctrica, Sección de Computación, CINVESTAV, Mexico, Mexico; Sección de Computación, Departamento de Ing. Eléctrica, Sección de Computación, CINVESTAV, Mexico, Mexico; School of Computer Science, University of Binningham, Birmingham, UK",IEEE Transactions on Evolutionary Computation,"14 Jun 2004","2004","8","3","256","279","This paper presents an approach in which Pareto dominance is incorporated into particle swarm optimization (PSO) in order to allow this heuristic to handle problems with several objective functions. Unlike other current proposals to extend PSO to solve multiobjective optimization problems, our algorithm uses a secondary (i.e., external) repository of particles that is later used by other particles to guide their own flight. We also incorporate a special mutation operator that enriches the exploratory capabilities of our algorithm. The proposed approach is validated using several test functions and metrics taken from the standard literature on evolutionary multiobjective optimization. Results indicate that the approach is highly competitive and that can be considered a viable alternative to solve multiobjective optimization problems.","1941-0026","","10.1109/TEVC.2004.826067","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1304847","","Particle swarm optimization;Proposals;Computer science;Genetic mutations;Testing;Scholarships;Constraint optimization;Evolutionary computation;Data structures","","3354","17","37","IEEE","14 Jun 2004","","","IEEE","IEEE Journals"
