"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"ImageNet: A large-scale hierarchical image database","J. Deng; W. Dong; R. Socher; L. -J. Li; Kai Li; Li Fei-Fei","Department of Computer Science, Princeton University, USA; Department of Computer Science, Princeton University, USA; Department of Computer Science, Princeton University, USA; Department of Computer Science, Princeton University, USA; Department of Computer Science, Princeton University, USA; Department of Computer Science, Princeton University, USA",2009 IEEE Conference on Computer Vision and Pattern Recognition,"18 Aug 2009","2009","","","248","255","The explosion of image data on the Internet has the potential to foster more sophisticated and robust models and algorithms to index, retrieve, organize and interact with images and multimedia data. But exactly how such data can be harnessed and organized remains a critical problem. We introduce here a new database called “ImageNet”, a large-scale ontology of images built upon the backbone of the WordNet structure. ImageNet aims to populate the majority of the 80,000 synsets of WordNet with an average of 500–1000 clean and full resolution images. This will result in tens of millions of annotated images organized by the semantic hierarchy of WordNet. This paper offers a detailed analysis of ImageNet in its current state: 12 subtrees with 5247 synsets and 3.2 million images in total. We show that ImageNet is much larger in scale and diversity and much more accurate than the current image datasets. Constructing such a large-scale database is a challenging task. We describe the data collection scheme with Amazon Mechanical Turk. Lastly, we illustrate the usefulness of ImageNet through three simple applications in object recognition, image classification and automatic object clustering. We hope that the scale, accuracy, diversity and hierarchical structure of ImageNet can offer unparalleled opportunities to researchers in the computer vision community and beyond.","1063-6919","978-1-4244-3992-8","10.1109/CVPR.2009.5206848","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5206848","","Large-scale systems;Image databases;Explosions;Internet;Robustness;Information retrieval;Image retrieval;Multimedia databases;Ontologies;Spine","","35240","202","28","IEEE","18 Aug 2009","","","IEEE","IEEE Conferences"
"Robust Face Recognition via Sparse Representation","J. Wright; A. Y. Yang; A. Ganesh; S. S. Sastry; Y. Ma","Coordinated Science Laboratory, University of Illinois, Urbana-Champaign, Urbana, IL, USA; Department of Electrical Engineering and Computer Science, University of California Berkeley, Berkeley, CA, USA; Coordinated Science Laboratory, University of Illinois, Urbana-Champaign, Urbana, IL, USA; Department of Electrical Engineering and Computer Science, University of California Berkeley, Berkeley, CA, USA; Coordinated Science Laboratory, University of Illinois, Urbana-Champaign, Urbana, IL, USA",IEEE Transactions on Pattern Analysis and Machine Intelligence,"30 Dec 2008","2009","31","2","210","227","We consider the problem of automatically recognizing human faces from frontal views with varying expression and illumination, as well as occlusion and disguise. We cast the recognition problem as one of classifying among multiple linear regression models and argue that new theory from sparse signal representation offers the key to addressing this problem. Based on a sparse representation computed by \ell^{1}-minimization, we propose a general classification algorithm for (image-based) object recognition. This new framework provides new insights into two crucial issues in face recognition: feature extraction and robustness to occlusion. For feature extraction, we show that if sparsity in the recognition problem is properly harnessed, the choice of features is no longer critical. What is critical, however, is whether the number of features is sufficiently large and whether the sparse representation is correctly computed. Unconventional features such as downsampled images and random projections perform just as well as conventional features such as Eigenfaces and Laplacianfaces, as long as the dimension of the feature space surpasses certain threshold, predicted by the theory of sparse representation. This framework can handle errors due to occlusion and corruption uniformly by exploiting the fact that these errors are often sparse with respect to the standard (pixel) basis. The theory of sparse representation helps predict how much occlusion the recognition algorithm can handle and how to choose the training images to maximize robustness to occlusion. We conduct extensive experiments on publicly available databases to verify the efficacy of the proposed algorithm and corroborate the above claims.","1939-3539","","10.1109/TPAMI.2008.79","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4483511","Face recognition;feature extraction;occlusion and corruption;sparse representation;compressed sensing;\ell^{1}--minimization;validation and outlier rejection.;Classifier design and evaluation;Face and gesture recognition;Feature evaluation and selection;Occlusion;Spare representation;Outlier rejection","Robustness;Face recognition;Feature extraction;Humans;Lighting;Linear regression;Signal representations;Classification algorithms;Object recognition;Image recognition","Algorithms;Artificial Intelligence;Biometry;Cluster Analysis;Face;Humans;Image Enhancement;Image Interpretation, Computer-Assisted;Pattern Recognition, Automated;Reproducibility of Results;Sensitivity and Specificity;Subtraction Technique","7738","47","62","IEEE","3 Apr 2008","","","IEEE","IEEE Journals"
"Matrix Factorization Techniques for Recommender Systems","Y. Koren; R. Bell; C. Volinsky","Yahoo Labs, Sunnyvale, CA, US; AT and T Research Laboratories, USA; AT and T Research Laboratories, USA",Computer,"7 Aug 2009","2009","42","8","30","37","As the Netflix Prize competition has demonstrated, matrix factorization models are superior to classic nearest neighbor techniques for producing product recommendations, allowing the incorporation of additional information such as implicit feedback, temporal effects, and confidence levels.","1558-0814","","10.1109/MC.2009.263","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5197422","Computational intelligence;Netflix Prize;Matrix factorization","Recommender systems;Motion pictures;Filtering;Collaboration;Sea measurements;Predictive models;Genomics;Bioinformatics;Nearest neighbor searches","","7331","86","12","IEEE","7 Aug 2009","","","IEEE","IEEE Magazines"
"Learning from Imbalanced Data","H. He; E. A. Garcia","Department of Electrical and Computer Engineering, Stevens Institute of Technology, Hoboken, NJ, USA; Department of Electrical and Computer Engineering, Stevens Institute of Technology, Hoboken, NJ, USA",IEEE Transactions on Knowledge and Data Engineering,"24 Jul 2009","2009","21","9","1263","1284","With the continuous expansion of data availability in many large-scale, complex, and networked systems, such as surveillance, security, Internet, and finance, it becomes critical to advance the fundamental understanding of knowledge discovery and analysis from raw data to support decision-making processes. Although existing knowledge discovery and data engineering techniques have shown great success in many real-world applications, the problem of learning from imbalanced data (the imbalanced learning problem) is a relatively new challenge that has attracted growing attention from both academia and industry. The imbalanced learning problem is concerned with the performance of learning algorithms in the presence of underrepresented data and severe class distribution skews. Due to the inherent complex characteristics of imbalanced data sets, learning from such data requires new understandings, principles, algorithms, and tools to transform vast amounts of raw data efficiently into information and knowledge representation. In this paper, we provide a comprehensive review of the development of research in learning from imbalanced data. Our focus is to provide a critical review of the nature of the problem, the state-of-the-art technologies, and the current assessment metrics used to evaluate learning performance under the imbalanced learning scenario. Furthermore, in order to stimulate future research in this field, we also highlight the major opportunities and challenges, as well as potential important research directions for learning from imbalanced data.","1558-2191","","10.1109/TKDE.2008.239","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5128907","Imbalanced learning;classification;sampling methods;cost-sensitive learning;kernel-based learning;active learning;assessment metrics.","Availability;Large-scale systems;Surveillance;Data security;IP networks;Finance;Data analysis;Decision making;Data engineering;Knowledge representation","","5754","8","145","IEEE","26 Jun 2009","","","IEEE","IEEE Journals"
"From PID to Active Disturbance Rejection Control","J. Han","Institute of Systems Science, Chinese Academy and Sciences, Beijing, China",IEEE Transactions on Industrial Electronics,"27 Feb 2009","2009","56","3","900","906","Active disturbance rejection control (ADRC) can be summarized as follows: it inherits from proportional-integral-derivative (PID) the quality that makes it such a success: the error driven, rather than model-based, control law; it takes from modern control theory its best offering: the state observer; it embraces the power of nonlinear feedback and puts it to full use; it is a useful digital control technology developed out of an experimental platform rooted in computer simulations. ADRC is made possible only when control is taken as an experimental science, instead of a mathematical one. It is motivated by the ever increasing demands from industry that requires the control technology to move beyond PID, which has dominated the practice for over 80 years. Specifically, there are four areas of weakness in PID that we strive to address: 1) the error computation; 2) noise degradation in the derivative control; 3) oversimplification and the loss of performance in the control law in the form of a linear weighted sum; and 4) complications brought by the integral control. Correspondingly, we propose four distinct measures: 1) a simple differential equation as a transient trajectory generator; 2) a noise-tolerant tracking differentiator; 3) the nonlinear control laws; and 4) the concept and method of total disturbance estimation and rejection. Together, they form a new set of tools and a new way of control design. Times and again in experiments and on factory floors, ADRC proves to be a capable replacement of PID with unmistakable advantage in performance and practicality, providing solutions to pressing engineering problems of today. With the new outlook and possibilities that ADRC represents, we further believe that control engineering may very well break the hold of classical PID and enter a new era, an era that brings back the spirit of innovations.","1557-9948","","10.1109/TIE.2008.2011621","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4796887","Active disturbance rejection control (ADRC);extended state observer (ESO);nonlinear proportional–integral–derivative (PID);tracking differentiator","Three-term control;Pi control;Proportional control;Error correction;Computer errors;Control theory;State feedback;Digital control;Computer simulation;Industrial control","","4977","4","15","IEEE","27 Feb 2009","","","IEEE","IEEE Journals"
"The Graph Neural Network Model","F. Scarselli; M. Gori; A. C. Tsoi; M. Hagenbuchner; G. Monfardini","Faculty of Information Engineering, University of Sienna, Siena, Italy; Faculty of Information Engineering, University of Sienna, Siena, Italy; Hong Kong Baptist University, Hong Kong, China; University of Wollongong, Wollongong, NSW, Australia; Faculty of Information Engineering, University of Sienna, Siena, Italy",IEEE Transactions on Neural Networks,"6 Jan 2009","2009","20","1","61","80","Many underlying relationships among data in several areas of science and engineering, e.g., computer vision, molecular chemistry, molecular biology, pattern recognition, and data mining, can be represented in terms of graphs. In this paper, we propose a new neural network model, called graph neural network (GNN) model, that extends existing neural network methods for processing the data represented in graph domains. This GNN model, which can directly process most of the practically useful types of graphs, e.g., acyclic, cyclic, directed, and undirected, implements a function tau(G,n) isin IRm that maps a graph G and one of its nodes n into an m-dimensional Euclidean space. A supervised learning algorithm is derived to estimate the parameters of the proposed GNN model. The computational cost of the proposed algorithm is also considered. Some experimental results are shown to validate the proposed learning algorithm, and to demonstrate its generalization capabilities.","1941-0093","","10.1109/TNN.2008.2005605","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4700287","Graphical domains;graph neural networks (GNNs);graph processing;recursive neural networks","Neural networks;Biological system modeling;Data engineering;Computer vision;Chemistry;Biology;Pattern recognition;Data mining;Supervised learning;Parameter estimation","Algorithms;Artificial Intelligence;Databases, Factual;Internet;Linear Models;Neural Networks (Computer);Nonlinear Dynamics;Pattern Recognition, Automated;Regression Analysis;Reproducibility of Results","4626","10","96","IEEE","9 Dec 2008","","","IEEE","IEEE Journals"
"Cuckoo Search via Lévy flights","X. -S. Yang; Suash Deb","Department of Engineering, University of Cambridge, Cambridge, UK; Department of Computer Science & Engineering, C. V. Raman College of Engineering, Janla, India",2009 World Congress on Nature & Biologically Inspired Computing (NaBIC),"22 Jan 2010","2009","","","210","214","In this paper, we intend to formulate a new meta-heuristic algorithm, called Cuckoo Search (CS), for solving optimization problems. This algorithm is based on the obligate brood parasitic behaviour of some cuckoo species in combination with the Lévy flight behaviour of some birds and fruit flies. We validate the proposed algorithm against test functions and then compare its performance with those of genetic algorithms and particle swarm optimization. Finally, we discuss the implication of the results and suggestion for further research.","","978-1-4244-5053-4","10.1109/NABIC.2009.5393690","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5393690","algorithm;cuckoo search;Lévy flight;meta-heuristics;nature-inspired strategy;optimization","Birds;Aerospace engineering;Particle swarm optimization;Space exploration;Computer science;Educational institutions;Testing;Genetic algorithms;Timing;Propulsion","","3917","1","22","IEEE","22 Jan 2010","","","IEEE","IEEE Conferences"
"A survey of spectrum sensing algorithms for cognitive radio applications","T. Yucek; H. Arslan","Atheros Communications, Inc., Santa Clara, CA, USA; Department of Electrical Engineering, University of South Florida, Tampa, FL, USA",IEEE Communications Surveys & Tutorials,"4 Mar 2009","2009","11","1","116","130","The spectrum sensing problem has gained new aspects with cognitive radio and opportunistic spectrum access concepts. It is one of the most challenging issues in cognitive radio systems. In this paper, a survey of spectrum sensing methodologies for cognitive radio is presented. Various aspects of spectrum sensing problem are studied from a cognitive radio perspective and multi-dimensional spectrum sensing concept is introduced. Challenges associated with spectrum sensing are given and enabling spectrum sensing methods are reviewed. The paper explains the cooperative sensing concept and its various forms. External sensing algorithms and other alternative sensing methods are discussed. Furthermore, statistical modeling of network traffic and utilization of these models for prediction of primary user behavior is studied. Finally, sensing features of some current wireless standards are given.","1553-877X","","10.1109/SURV.2009.090109","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4796930","Cognitive radio, spectrum sensing, dynamic spectrum access, multi-dimensional spectrum sensing, cooperative sensing, radio identification","Cognitive radio;Predictive models;Radio spectrum management;FCC;Energy measurement;Frequency measurement;Telecommunication traffic;Traffic control;Wireless sensor networks;Radiofrequency identification","","3644","43","123","IEEE","4 Mar 2009","","","IEEE","IEEE Journals"
"Channel Polarization: A Method for Constructing Capacity-Achieving Codes for Symmetric Binary-Input Memoryless Channels","E. Arikan","Department of Electrical-Electronics Engineering, Bilkent University, Ankara, Turkey",IEEE Transactions on Information Theory,"16 Jun 2009","2009","55","7","3051","3073"," A method is proposed, called channel polarization, to construct code sequences that achieve the symmetric capacity $I(W)$ of any given binary-input discrete memoryless channel (B-DMC) $W$. The symmetric capacity is the highest rate achievable subject to using the input letters of the channel with equal probability. Channel polarization refers to the fact that it is possible to synthesize, out of $N$ independent copies of a given B-DMC  $W$, a second set of $N$  binary-input channels $\{W_N^{(i)}:1\le i\le N\}$  such that, as $N$ becomes large, the fraction of indices  $i$ for which $I(W_N^{(i)})$ is near $1$  approaches $I(W)$ and the fraction for which  $I(W_N^{(i)})$ is near $0$  approaches $1-I(W)$. The polarized channels  $\{W_N^{(i)}\}$ are well-conditioned for channel coding: one need only send data at rate $1$ through those with capacity near  $1$ and at rate $0$ through the remaining. Codes constructed on the basis of this idea are called polar codes. The paper proves that, given any B-DMC $W$ with $I(W)> 0$ and any target rate $R ≪ I(W)$, there exists a sequence of polar codes $\{{\Fraktur {C}}_n;n\ge 1\}$  such that  ${\Fraktur {C}}_n$ has block-length $N=2^n$ , rate  $\ge R$, and probability of block error under successive cancellation decoding bounded as $P_{e}(N,R) \le O(N^{-{1\over 4}})$  independently of the code rate. This performance is achievable by encoders and decoders with complexity $O(N\log N)$ for each. ","1557-9654","","10.1109/TIT.2009.2021379","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5075875","Capacity-achieving codes;channel capacity;channel polarization;Plotkin construction;polar codes;Reed– Muller (RM) codes;successive cancellation decoding","Polarization;Memoryless systems;Decoding;Capacity planning;Channel capacity;Channel coding;Noise cancellation;Codes;Councils;Information theory","","3400","226","17","IEEE","16 Jun 2009","","","IEEE","IEEE Journals"
"Comprehensive Approach to Modeling and Simulation of Photovoltaic Arrays","M. G. Villalva; J. R. Gazoli; E. R. Filho","School of Electrical and Computer Engineering, State University of Campinas-UNICAMP, Campinas, Brazil; School of Electrical and Computer Engineering, State University of Campinas-UNICAMP, Campinas, Brazil; School of Electrical and Computer Engineering, State University of Campinas-UNICAMP, Campinas, Brazil",IEEE Transactions on Power Electronics,"17 Apr 2009","2009","24","5","1198","1208","This paper proposes a method of modeling and simulation of photovoltaic arrays. The main objective is to find the parameters of the nonlinear I-V equation by adjusting the curve at three points: open circuit, maximum power, and short circuit. Given these three points, which are provided by all commercial array data sheets, the method finds the best I-V equation for the single-diode photovoltaic (PV) model including the effect of the series and parallel resistances, and warranties that the maximum power of the model matches with the maximum power of the real array. With the parameters of the adjusted I-V equation, one can build a PV circuit model with any circuit simulator by using basic math blocks. The modeling method and the proposed circuit model are useful for power electronics designers who need a simple, fast, accurate, and easy-to-use modeling method for using in simulations of PV systems. In the first pages, the reader will find a tutorial on PV devices and will understand the parameters that compose the single-diode PV model. The modeling method is then introduced and presented in details. The model is validated with experimental data of commercial PV arrays.","1941-0107","","10.1109/TPEL.2009.2013862","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4806084","Array;circuit;equivalent;model;modeling;photovoltaic (PV);simulation","Photovoltaic systems;Solar power generation;Circuit simulation;Power system modeling;Energy conversion;Nonlinear equations;Voltage;Analytical models;Warranties;Power electronics","","3213","","55","IEEE","27 Mar 2009","","","IEEE","IEEE Journals"
