"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Discussions on target theory: past and present","T. Nomiya",NA,Journal of Radiation Research,"18 Jan 2018","2013","54","6","1161","1163","","1349-9157","","10.1093/jrr/rrt075","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8162586","","","","","","","","18 Jan 2018","","","OUP","OUP Journals"
"2013 JRR Terashima Award","",,Journal of Radiation Research,"18 Jan 2018","2013","54","6","1160","1160","","1349-9157","","10.1093/jrr/rrt126","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8162588","","","","","","","","18 Jan 2018","","","OUP","OUP Journals"
"Transparent computing: Spatio-temporal extension on von Neumann architecture for cloud services","Y. Zhang; Y. Zhou","Department of Computer Science and Technology, Tsinghua University, Beijing 100084, China; School of Information Science and Engineering, Central South University, Changsha 410083, China; Department of Computer Science and Technology, Tsinghua University, Beijing 100084, China",Tsinghua Science and Technology,"7 Feb 2013","2013","18","1","10","21","The rapid advancements in hardware, software, and computer networks have facilitated the shift of the computing paradigm from mainframe to cloud computing, in which users can get their desired services anytime, anywhere, and by any means. However, cloud computing also presents many challenges, one of which is the difficulty in allowing users to freely obtain desired services, such as heterogeneous OSes and applications, via different light-weight devices. We have proposed a new paradigm by spatio-temporally extending the von Neumann architecture, called transparent computing, to centrally store and manage the commodity programs including OS codes, while streaming them to be run in non-state clients. This leads to a service-centric computing environment, in which users can select the desired services on demand, without concern for these services' administration, such as their installation, maintenance, management, and upgrade. In this paper, we introduce a novel concept, namely Meta OS, to support such program streaming through a distributed 4VP+ platform. Based on this platform, a pilot system has been implemented, which supports Windows and Linux environments. We verify the effectiveness of the platform through both real deployments and testbed experiments. The evaluation results suggest that the 4VP+ platform is a feasible and promising solution for the future computing infrastructure for cloud services.","1007-0214","","10.1109/TST.2013.6449403","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6449403","transparent computing;extended von Neumann architecture;cloud computing;cloud services;Meta OS","Transparent computing;Computer architecture;Cloud computing;Computational modeling;Central Processing Unit;Maintenance engineering","","41","","","","7 Feb 2013","","","TUP","TUP Journals"
"Intermediate spoofing strategies and countermeasures","Y. Gao; H. Li; M. Lu; Z. Feng","Tsinghua University, Beijing, Beijing, CN; Tsinghua University, Beijing, Beijing, CN; Tsinghua University, Beijing, Beijing, CN; Tsinghua University, Beijing, Beijing, CN",Tsinghua Science and Technology,"6 Dec 2013","2013","18","6","599","605","Intermediate spoofing can impact most off-the-shelf Global Navigation Satellite Systems (GNSS) receivers, therefore low cost detection of such spoofing is very important to protect the reliability of the GNSS receivers used in critical safety and financial applications. This paper presents two strategies to analyze attacks by intermediate spoofing attackers to identify the weaknesses of such attacks. The analyses lead to a code and carrier phase consistency detection method with simulation results showing that this method can indicate the receiver when spoofing has occurred. The method can be used by most receivers, is inexpensive, and requires only a small software upgrade.","1007-0214","","10.1109/TST.2013.6678905","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6678905","intermediate spoofing;dragging code phase strategy;low cost countermeasures;code and carrier phase consistency","Receivers;Doppler effect;Satellites;Global Positioning System;Simulation;Frequency estimation;Correlation","","23","","","","6 Dec 2013","","","TUP","TUP Journals"
"A buffer management scheme for packet queues in MANET","M. Aamir; M. A. Zaidi","Department of Technology Support, National Bank, Karachi, Pakistan; Shaheed Zulfikar Ali Bhutto Institute of Science and Technology, Karachi, PK",Tsinghua Science and Technology,"6 Dec 2013","2013","18","6","543","553","We introduce a new scheme of buffer management to handle packet queues in Mobile Ad hoc Networks (MANETs) for fixed and mobile nodes. In this scheme, we try to achieve efficient queuing in the buffer of a centrally communicating MANET node through an active queue management strategy by assigning dynamic buffer space to all neighboring nodes in proportion to the number of packets received from neighbors and hence controlling packet drop probabilities. Our simulation study reveals that the proposed scheme is a way to improve the buffer management for packet queues in MANET nodes in terms of packet loss ratio, transmission efficiency, and some other important system parameters.","1007-0214","","10.1109/TST.2013.6678900","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6678900","Active Queue Management (AQM);Mobile Ad hoc Network (MANET);queue management;packet drop","Mobile ad hoc networks;Resource management;Aerospace electronics;Packet loss;Quality of service","","18","","","","6 Dec 2013","","","TUP","TUP Journals"
"Dynamic threshold for SPWVD parameter estimation based on Otsu algorithm","N. Ma; J. Wang","School of Electronic Engineering and Optoelectronic Technology, Nanjing University of Science and Technology, Nanjing 210094, China; School of Electronic Engineering and Optoelectronic Technology, Nanjing University of Science and Technology, Nanjing 210094, China",Journal of Systems Engineering and Electronics,"5 Mar 2014","2013","24","6","919","924","Time-frequency-based methods are proven to be effective for parameter estimation of linear frequency modulation (LFM) signals. The smoothed pseudo Winger-Ville distribution (SPWVD) is used for the parameter estimation of multi-LFM signals, and a method of the SPWVD binarization by a dynamic threshold based on the Otsu algorithm is proposed. The proposed method is effective in the demand for the estimation of different parameters and the unknown signal-to-noise ratio (SNR) circumstance. The performance of this method is confirmed by numerical simulation.","1004-4132","","10.1109/JSEE.2013.00107","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6756012","parameter estimation;smoothed pseudo Winger-Ville distribution (SPWVD);dynamic threshold;Otsu algorithm","Time-frequency analysis;Signal to noise ratio;Parameter estimation;Heuristic algorithms;Threshold current;Systems engineering and theory;Gray-scale","","17","","","","5 Mar 2014","","","BIAI","BIAI Journals"
"IUKF neural network modeling for FOG temperature drift","F. Zha; J. Xu; J. Li; H. He","Department of Navigation Engineering, Naval University of Engineering, Wuhan 430033, China; Department of Navigation Engineering, Naval University of Engineering, Wuhan 430033, China; Department of Navigation Engineering, Naval University of Engineering, Wuhan 430033, China; Department of Navigation Engineering, Naval University of Engineering, Wuhan 430033, China",Journal of Systems Engineering and Electronics,"20 Nov 2013","2013","24","5","838","844","A novel neural network based on iterated unscented Kalman filter (IUKF) algorithm is established to model and compensate for the fiber optic gyro (FOG) bias drift caused by temperature. In the network, FOG temperature and its gradient are set as input and the FOG bias drift is set as the expected output. A 2-5-1 network trained with IUKF algorithm is established. The IUKF algorithm is developed on the basis of the unscented Kalman filter (UKF). The weight and bias vectors of the hidden layer are set as the state of the UKF and its process and measurement equations are deduced according to the network architecture. To solve the unavoidable estimation deviation of the mean and covariance of the states in the UKF algorithm, iterative computation is introduced into the UKF after the measurement update. While the measurement noise R is extended into the state vectors before iteration in order to meet the statistic orthogonality of estimate and measurement noise. The IUKF algorithm can provide the optimized estimation for the neural network because of its state expansion and iteration. Temperature rise (-20-20°C) and drop (70-20°C) tests for FOG are carried out in an attemperator. The temperature drift model is built with neural network, and it is trained respectively with BP, UKF and IUKF algorithms. The results prove that the proposed model has higher precision compared with the back-propagation (BP) and UKF network models.","1004-4132","","10.1109/JSEE.2013.00097","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6661878","fiber optic gyro (FOG);temperature drift;neural network;iterated unscented Kalman filter (IUKF)","Temperature measurement;Mathematical model;Noise;Biological neural networks;Temperature distribution;Equations","","16","","","","20 Nov 2013","","","BIAI","BIAI Journals"
"MIMO-DCSK communication scheme and its performance analysis over multipath fading channels","S. Wang; S. Lu; E. Zhang","School of Electrical Science and Engineering, National University of Defense Technology, Changsha 410073, China; School of Electrical Science and Engineering, National University of Defense Technology, Changsha 410073, China; School of Electrical Science and Engineering, National University of Defense Technology, Changsha 410073, China",Journal of Systems Engineering and Electronics,"20 Nov 2013","2013","24","5","729","733","The differential chaotic shift keying (DCSK) communication in multiple input multiple output (MIMO) multipath fading channels is considered. A simple MIMO-DCSK communication scheme based on orthogonal multi-codes (OMCs) and equal gain combination (EGC) is proposed, in which OMCs are used to spread the same information bit at each transmitting antenna and the information bit is detected by EGC at receiving antenna. The OMCs are constructed from one chaotic sequence by means of othogo-nal space-time block coding (OSTBC). The output signal-to-noise ratio (SNR) after EGC is given based on central limit theory (CLT), and it can effectively exploit the spatial diversity of the underlying MIMO system. Simulation results show that the full spatial diversity gain is achieved without channel estimation in the MIMO-DCSK communication scheme and it performs better than MC-EGC for a large number of transmitting antennas.","1004-4132","","10.1109/JSEE.2013.00085","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6661866","chaotic communication;differential chaotic shift keying (DCSK);multiple input multiple output (MIMO);orthogonal multicode (OMC);equal gain combination (EGC)","Chaotic communication;Fading;MIMO;Transmitting antennas;Educational institutions;Receiving antennas","","15","","","","20 Nov 2013","","","BIAI","BIAI Journals"
"On-orbit target tracking and inspection by satellite formation","G. Zhai; J. Zhang; Z. Zhou","School of Aerospace Engineering, Beijing Institute of Technology, Beijing 100081, China; School of Aerospace Engineering, Beijing Institute of Technology, Beijing 100081, China; China Academy of Space Technology, Beijing 100094, China",Journal of Systems Engineering and Electronics,"5 Mar 2014","2013","24","6","879","888","A new type of estimator is developed for the satellite formation to track and inspect on-orbit targets. The follower satellite in the formation works without relative sensors, and its target pointing commands are derived based on relative orbital dynamics. The centralized estimator based on truth measurement is designed, however, this estimator is proved unstable because of the lack of necessary measurement information. After that, an alternative estimator based on pseudo measurement is designed, and its observability and controllability are analyzed to qualitatively evaluate the convergence performance. Finally, an on-orbit target inspection scenario is numerically simulated to verify the performance of the estimator based on pseudo measurement.","1004-4132","","10.1109/JSEE.2013.00102","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6756007","satellite formation;on-orbit inspection;target tracking;pseudo measurement","Space vehicles;Satellites;Sensors;Extraterrestrial measurements;Vectors;Target tracking","","13","","","","5 Mar 2014","","","BIAI","BIAI Journals"
"Consensus algorithm for multiple quadrotor systems under fixed and switching topologies","Y. Wang; Q. Wu; Y. Wang; D. Yu","School of Automation, Beijing Institute of Technology, Beijing 100081, China; School of Automation, Beijing Institute of Technology, Beijing 100081, China; School of Automation, Beijing Institute of Technology, Beijing 100081, China; School of Automation, Beijing Institute of Technology, Beijing 100081, China",Journal of Systems Engineering and Electronics,"20 Nov 2013","2013","24","5","818","827","The distributed leadless consensus problem for multiple quadrotor systems under fixed and switching topologies is investigated. The objective is to design protocols achieving consensus for networked quadrotors' positions and attitudes. Because the model of a quadrotor is a strong high-order nonlinear coupling system, the approach of feedback linearization is employed to transform the model into a group of four linear subsystems among which there is no coupling. Then, a consensus algorithm is proposed which consists of a local feedback controller and interactions from the finite neighbors under fixed undirected topologies. Especially, the problem of choosing the parameters in the consensus algorithm is also addressed, enlightened by the results of the robust control theory. Furthermore, it is proved that the proposed algorithm also guarantees the consensus under undirected switching topologies. Simulation results show the effectiveness of the proposed algorithm.","1004-4132","","10.1109/JSEE.2013.00095","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6661876","consensus;multiple quadrotor system;high-order nonlinear system;feedback linearization;switching topology","Topology;Switches;Eigenvalues and eigenfunctions;Equations;Aerodynamics;Network topology;Protocols","","13","","","","20 Nov 2013","","","BIAI","BIAI Journals"
"MIMO radar dwell scheduling based on novel pulse interleaving technique","T. Cheng; W. Liao; Z. He","School of Electronic Engineering, University of Electronic Science and Technology of China, Chengdu 611731, China; School of Electronic Engineering, University of Electronic Science and Technology of China, Chengdu 611731, China; School of Electronic Engineering, University of Electronic Science and Technology of China, Chengdu 611731, China",Journal of Systems Engineering and Electronics,"21 Jun 2013","2013","24","2","234","241","According to the signal processing characteristic of MIMO radars, an adaptive dwell scheduling algorithm is proposed. It is based on a novel pulse interleaving technique, which makes full use of transmitting, waiting and receiving durations of radar dwells. The utilization of transmitting duration is unique for MIMO radars and is realized through transmitting duration overlapping. Simulation results show that, compared with the conventional scheduling algorithm, the scheduling performance of MIMO radars can be improved effectively by the proposed algorithm, and the scheduling rule can be chosen arbitrarily when using the proposed algorithm.","1004-4132","","10.1109/JSEE.2013.00030","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6545435","multiple input multiple output (MIMO) radar;dwell scheduling;pulse interleaving;time constraint;energy constraint","Radar;MIMO radar;Task analysis;Scheduling;Scheduling algorithms;Radar detection;MIMO communication","","12","","","","21 Jun 2013","","","BIAI","BIAI Journals"
