"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Are we ready for autonomous driving? The KITTI vision benchmark suite","A. Geiger; P. Lenz; R. Urtasun","Karlsruhe Institute of Technology, Germany; Karlsruhe Institute of Technology, Germany; Toyota Technical Institute, USA",2012 IEEE Conference on Computer Vision and Pattern Recognition,"26 Jul 2012","2012","","","3354","3361","Today, visual recognition systems are still rarely employed in robotics applications. Perhaps one of the main reasons for this is the lack of demanding benchmarks that mimic such scenarios. In this paper, we take advantage of our autonomous driving platform to develop novel challenging benchmarks for the tasks of stereo, optical flow, visual odometry/SLAM and 3D object detection. Our recording platform is equipped with four high resolution video cameras, a Velodyne laser scanner and a state-of-the-art localization system. Our benchmarks comprise 389 stereo and optical flow image pairs, stereo visual odometry sequences of 39.2 km length, and more than 200k 3D object annotations captured in cluttered scenarios (up to 15 cars and 30 pedestrians are visible per image). Results from state-of-the-art algorithms reveal that methods ranking high on established datasets such as Middlebury perform below average when being moved outside the laboratory to the real world. Our goal is to reduce this bias by providing challenging benchmarks with novel difficulties to the computer vision community. Our benchmarks are available online at: www.cvlibs.net/datasets/kitti","1063-6919","978-1-4673-1228-8","10.1109/CVPR.2012.6248074","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6248074","","Benchmark testing;Cameras;Optical imaging;Visualization;Optical sensors;Measurement","","8803","42","48","IEEE","26 Jul 2012","","","IEEE","IEEE Conferences"
"SLIC Superpixels Compared to State-of-the-Art Superpixel Methods","R. Achanta; A. Shaji; K. Smith; A. Lucchi; P. Fua; S. Süsstrunk","Images and Visual Representation Group, Ecole Polytechnique Fédérale de Lausanne, Lausanne, Switzerland; Images and Visual Representation Group, Ecole Polytechnique Fédérale de Lausanne, Lausanne, Switzerland; ETH-Swiss Federal Institute of Technology, Institute for Biochemistry Schafmattstrasse, Zurich, Switzerland; Computer Vision Laboratory, Ecole Polytechnique Fédérale de Lausanne, Lausanne, Switzerland; Computer Vision Laboratory, Ecole Polytechnique Fédérale de Lausanne, Lausanne, Switzerland; Ecole Polytechnique Federale de Lausanne, Lausanne",IEEE Transactions on Pattern Analysis and Machine Intelligence,"17 Sep 2012","2012","34","11","2274","2282","Computer vision applications have come to rely increasingly on superpixels in recent years, but it is not always clear what constitutes a good superpixel algorithm. In an effort to understand the benefits and drawbacks of existing methods, we empirically compare five state-of-the-art superpixel algorithms for their ability to adhere to image boundaries, speed, memory efficiency, and their impact on segmentation performance. We then introduce a new superpixel algorithm, simple linear iterative clustering (SLIC), which adapts a k-means clustering approach to efficiently generate superpixels. Despite its simplicity, SLIC adheres to boundaries as well as or better than previous methods. At the same time, it is faster and more memory efficient, improves segmentation performance, and is straightforward to extend to supervoxel generation.","1939-3539","","10.1109/TPAMI.2012.120","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6205760","Superpixels;segmentation;clustering;k-means","Clustering algorithms;Image segmentation;Complexity theory;Image color analysis;Image edge detection;Measurement uncertainty;Approximation algorithms","Algorithms;Image Enhancement;Image Interpretation, Computer-Assisted;Pattern Recognition, Automated;Reproducibility of Results;Sensitivity and Specificity;Signal Processing, Computer-Assisted","7069","110","30","IEEE","29 May 2012","","","IEEE","IEEE Journals"
"Deep Neural Networks for Acoustic Modeling in Speech Recognition: The Shared Views of Four Research Groups","G. Hinton; L. Deng; D. Yu; G. E. Dahl; A. -r. Mohamed; N. Jaitly; A. Senior; V. Vanhoucke; P. Nguyen; T. N. Sainath; B. Kingsbury","University of Toronto, Canada; Department of Electrical and Computer Engineering, University of Waterloo, ONT, Canada; Microsoft Corporation, USA; University of Toronto, Canada; University of Toronto, Canada; University of Toronto, Canada; Google, Inc., USA; Google Research, Mountain View, CA, USA; Google Research, Mountain View, CA, USA; IBM Thomas J. Watson Research Center, USA; Electrical engineering, Michigan State University, East Lansing, USA",IEEE Signal Processing Magazine,"18 Oct 2012","2012","29","6","82","97","Most current speech recognition systems use hidden Markov models (HMMs) to deal with the temporal variability of speech and Gaussian mixture models (GMMs) to determine how well each state of each HMM fits a frame or a short window of frames of coefficients that represents the acoustic input. An alternative way to evaluate the fit is to use a feed-forward neural network that takes several frames of coefficients as input and produces posterior probabilities over HMM states as output. Deep neural networks (DNNs) that have many hidden layers and are trained using new methods have been shown to outperform GMMs on a variety of speech recognition benchmarks, sometimes by a large margin. This article provides an overview of this progress and represents the shared views of four research groups that have had recent successes in using DNNs for acoustic modeling in speech recognition.","1558-0792","","10.1109/MSP.2012.2205597","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6296526","","Automatic speech recognition;Speech recognition;Hidden Markov models;Training;Gaussian processes;Acoustics;Neural networks;Data models","","7002","159","69","IEEE","18 Oct 2012","","","IEEE","IEEE Magazines"
"Overview of the High Efficiency Video Coding (HEVC) Standard","G. J. Sullivan; J. -R. Ohm; W. -J. Han; T. Wiegand","Microsoft Corporation, Redmond, WA, USA; Institute of Communication Engineering, RWTH Aachen University, Aachen, Germany; Department of Software Design and Management, Gachon University, Seongnam, Korea; Fraunhofer Institute for Telecommunications, Heinrich Hertz Institute, Berlin, Germany",IEEE Transactions on Circuits and Systems for Video Technology,"7 Jan 2013","2012","22","12","1649","1668","High Efficiency Video Coding (HEVC) is currently being prepared as the newest video coding standard of the ITU-T Video Coding Experts Group and the ISO/IEC Moving Picture Experts Group. The main goal of the HEVC standardization effort is to enable significantly improved compression performance relative to existing standards-in the range of 50% bit-rate reduction for equal perceptual video quality. This paper provides an overview of the technical features and characteristics of the HEVC standard.","1558-2205","","10.1109/TCSVT.2012.2221191","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6316136","Advanced video coding (AVC);H.264;High Efficiency Video Coding (HEVC);Joint Collaborative Team on Video Coding (JCT-VC);Moving Picture Experts Group (MPEG);MPEG-4;standards;Video Coding Experts Group (VCEG);video compression","Video coding;ISO standards;Video compression;MPEG 4 Standard;MPEG standards","","6474","543","24","IEEE","28 Sep 2012","","","IEEE","IEEE Journals"
"Extreme Learning Machine for Regression and Multiclass Classification","G. -B. Huang; H. Zhou; X. Ding; R. Zhang","School of Electrical and Electronic Engineering, Nanyang Technological University, Singapore; School of Electrical and Electronic Engineering, Nanyang Technological University, Singapore; School of Electronic and Information Engineering, Xi'an Jiaotong University, Xi'an, China; Department of Mathematics, Northwest University, Xi'an, China","IEEE Transactions on Systems, Man, and Cybernetics, Part B (Cybernetics)","15 Mar 2012","2012","42","2","513","529","Due to the simplicity of their implementations, least square support vector machine (LS-SVM) and proximal support vector machine (PSVM) have been widely used in binary classification applications. The conventional LS-SVM and PSVM cannot be used in regression and multiclass classification applications directly, although variants of LS-SVM and PSVM have been proposed to handle such cases. This paper shows that both LS-SVM and PSVM can be simplified further and a unified learning framework of LS-SVM, PSVM, and other regularization algorithms referred to extreme learning machine (ELM) can be built. ELM works for the “generalized” single-hidden-layer feedforward networks (SLFNs), but the hidden layer (or called feature mapping) in ELM need not be tuned. Such SLFNs include but are not limited to SVM, polynomial network, and the conventional feedforward neural networks. This paper shows the following: 1) ELM provides a unified learning platform with a widespread type of feature mappings and can be applied in regression and multiclass classification applications directly; 2) from the optimization method point of view, ELM has milder optimization constraints compared to LS-SVM and PSVM; 3) in theory, compared to ELM, LS-SVM and PSVM achieve suboptimal solutions and require higher computational complexity; and 4) in theory, ELM can approximate any target continuous function and classify any disjoint regions. As verified by the simulation results, ELM tends to have better scalability and achieve similar (for regression and binary class cases) or much better (for multiclass cases) generalization performance at much faster learning speed (up to thousands times) than traditional SVM and LS-SVM.","1941-0492","","10.1109/TSMCB.2011.2168604","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6035797","Extreme learning machine (ELM);feature mapping;kernel;least square support vector machine (LS-SVM);proximal support vector machine (PSVM);regularization network","Support vector machines;Optimization;Kernel;Training;Feedforward neural networks;Machine learning;Approximation methods","","4600","4","56","IEEE","6 Oct 2011","","","IEEE","IEEE Journals"
"No-Reference Image Quality Assessment in the Spatial Domain","A. Mittal; A. K. Moorthy; A. C. Bovik","Laboratory for Image and Video Engineering, Department of Electrical and Computer Engineering, University of Texas, Austin, Austin, TX, USA; Laboratory for Image and Video Engineering, Department of Electrical and Computer Engineering, University of Texas, Austin, Austin, TX, USA; Laboratory for Image and Video Engineering, Department of Electrical and Computer Engineering, University of Texas, Austin, Austin, TX, USA",IEEE Transactions on Image Processing,"15 Nov 2012","2012","21","12","4695","4708","We propose a natural scene statistic-based distortion-generic blind/no-reference (NR) image quality assessment (IQA) model that operates in the spatial domain. The new model, dubbed blind/referenceless image spatial quality evaluator (BRISQUE) does not compute distortion-specific features, such as ringing, blur, or blocking, but instead uses scene statistics of locally normalized luminance coefficients to quantify possible losses of “naturalness” in the image due to the presence of distortions, thereby leading to a holistic measure of quality. The underlying features used derive from the empirical distribution of locally normalized luminances and products of locally normalized luminances under a spatial natural scene statistic model. No transformation to another coordinate frame (DCT, wavelet, etc.) is required, distinguishing it from prior NR IQA approaches. Despite its simplicity, we are able to show that BRISQUE is statistically better than the full-reference peak signal-to-noise ratio and the structural similarity index, and is highly competitive with respect to all present-day distortion-generic NR IQA algorithms. BRISQUE has very low computational complexity, making it well suited for real time applications. BRISQUE features may be used for distortion-identification as well. To illustrate a new practical application of BRISQUE, we describe how a nonblind image denoising algorithm can be augmented with BRISQUE in order to perform blind image denoising. Results show that BRISQUE augmentation leads to performance improvements over state-of-the-art methods. A software release of BRISQUE is available online: http://live.ece.utexas.edu/research/quality/BRISQUE_release.zip for public use and evaluation.","1941-0042","","10.1109/TIP.2012.2214050","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6272356","Blind quality assessment;denoising;natural scene statistics;no reference image quality assessment;spatial domain","Visualization;Humans;Indexes;Prediction algorithms;Nonlinear distortion;Distortion measurement","","3916","19","55","IEEE","17 Aug 2012","","","IEEE","IEEE Journals"
"Nonlinear Feedback Design for Fixed-Time Stabilization of Linear Control Systems","A. Polyakov","Russian Academy of Sciences, Institute of Control Sciences, Moscow, Russia",IEEE Transactions on Automatic Control,"19 Jul 2012","2012","57","8","2106","2110","Two types of nonlinear control algorithms are presented for uncertain linear plants. Controllers of the first type are stabilizing polynomial feedbacks that allow to adjust a guaranteed convergence time of system trajectories into a prespecified neighborhood of the origin independently on initial conditions. The control design procedure uses block control principles and finite-time attractivity properties of polynomial feedbacks. Controllers of the second type are modifications of the second order sliding mode control algorithms. They provide global finite-time stability of the closed-loop system and allow to adjust a guaranteed settling time independently on initial conditions. Control algorithms are presented for both single-input and multi-input systems. Theoretical results are supported by numerical simulations.","1558-2523","","10.1109/TAC.2011.2179869","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6104367","Finite-time stability;polynomial feedback;second-order sliding mode control","Polynomials;Asymptotic stability;Algorithm design and analysis;Control systems;Stability analysis;Convergence;Numerical stability","","3173","","24","IEEE","14 Dec 2011","","","IEEE","IEEE Journals"
"DEAP: A Database for Emotion Analysis ;Using Physiological Signals","S. Koelstra; C. Muhl; M. Soleymani; J. -S. Lee; A. Yazdani; T. Ebrahimi; T. Pun; A. Nijholt; I. Patras","School of Electronic Engineering and Computer Science, Queen Mary, University of London, London, UK; Human Media Interaction Group, University of Twente, Enschede, Netherlands; Computer Science Department, University of Geneva, Geneva, Switzerland; School of Integrated Technology, Yonsei University, South Korea; Multimedia Signal Processing Group, Institute of Electrical Engineering (IEL), Ecole Polytechnique Fédéral de Lausanne, Lausanne, Switzerland; Multimedia Signal Processing Group, Institute of Electrical Engineering (IEL), Ecole Polytechnique Fédéral de Lausanne, Lausanne, Switzerland; Computer Science Department, University of Geneva, Geneva, Switzerland; Human Media Interaction Group, University of Twente, Enschede, Netherlands; School of Electronic Engineering and Computer Science, Queen Mary, University of London, London, UK",IEEE Transactions on Affective Computing,"9 Apr 2012","2012","3","1","18","31","We present a multimodal data set for the analysis of human affective states. The electroencephalogram (EEG) and peripheral physiological signals of 32 participants were recorded as each watched 40 one-minute long excerpts of music videos. Participants rated each video in terms of the levels of arousal, valence, like/dislike, dominance, and familiarity. For 22 of the 32 participants, frontal face video was also recorded. A novel method for stimuli selection is proposed using retrieval by affective tags from the last.fm website, video highlight detection, and an online assessment tool. An extensive analysis of the participants' ratings during the experiment is presented. Correlates between the EEG signal frequencies and the participants' ratings are investigated. Methods and results are presented for single-trial classification of arousal, valence, and like/dislike ratings using the modalities of EEG, peripheral physiological signals, and multimedia content analysis. Finally, decision fusion of the classification results from different modalities is performed. The data set is made publicly available and we encourage other researchers to use it for testing their own affective state estimation methods.","1949-3045","","10.1109/T-AFFC.2011.15","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5871728","Emotion classification;EEG;physiological signals;signal processing;pattern classification;affective computing.","Videos;Databases;Electroencephalography;Motion pictures;Multimedia communication;Visualization;Face","","3055","6","63","IEEE","9 Jun 2011","","","IEEE","IEEE Journals"
"Control of Power Converters in AC Microgrids","J. Rocabert; A. Luna; F. Blaabjerg; P. Rodríguez","Department of Electrical Engineering, Technical University of Catalonia, Barcelona, Spain; Department of Electrical Engineering, Technical University of Catalonia, Barcelona, Spain; Power Electronics Section, Aalborg University, Aalborg, Denmark; Abengoa Research, Seville, Spain",IEEE Transactions on Power Electronics,"20 Jun 2012","2012","27","11","4734","4749","The enabling of ac microgrids in distribution networks allows delivering distributed power and providing grid support services during regular operation of the grid, as well as powering isolated islands in case of faults and contingencies, thus increasing the performance and reliability of the electrical system. The high penetration of distributed generators, linked to the grid through highly controllable power processors based on power electronics, together with the incorporation of electrical energy storage systems, communication technologies, and controllable loads, opens new horizons to the effective expansion of microgrid applications integrated into electrical power systems. This paper carries out an overview about microgrid structures and control techniques at different hierarchical levels. At the power converter level, a detailed analysis of the main operation modes and control structures for power converters belonging to microgrids is carried out, focusing mainly on grid-forming, grid-feeding, and grid-supporting configurations. This analysis is extended as well toward the hierarchical control scheme of microgrids, which, based on the primary, secondary, and tertiary control layer division, is devoted to minimize the operation cost, coordinating support services, meanwhile maximizing the reliability and the controllability of microgrids. Finally, the main grid services that microgrids can offer to the main network, as well as the future trends in the development of their operation and control for the next future, are presented and discussed.","1941-0107","","10.1109/TPEL.2012.2199334","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6200347","Active and reactive power droop control;ancillary services;distributed energy resources;distributed generation (DG);grid converter control;grid synchronization;microgrids","Voltage control;Synchronization;Impedance;Frequency conversion;Generators;Reactive power;Frequency control","","2852","19","81","IEEE","15 May 2012","","","IEEE","IEEE Journals"
"Tracking-Learning-Detection","Z. Kalal; K. Mikolajczyk; J. Matas","Centre for Vision, Speech, and Signal Processing, Faculty of Engineering and Physical Sciences, University of Surrey, Guildford, Surrey, UK; Centre for Vision, Speech, and Signal Processing, Faculty of Engineering and Physical Sciences, University of Surrey, Guildford, Surrey, UK; Center for Machine Perception, Department of Cybernetics, Faculty of Electrical Engineering, Czech Technical University, Praque, Czech Republic",IEEE Transactions on Pattern Analysis and Machine Intelligence,"16 May 2012","2012","34","7","1409","1422","This paper investigates long-term tracking of unknown objects in a video stream. The object is defined by its location and extent in a single frame. In every frame that follows, the task is to determine the object's location and extent or indicate that the object is not present. We propose a novel tracking framework (TLD) that explicitly decomposes the long-term tracking task into tracking, learning, and detection. The tracker follows the object from frame to frame. The detector localizes all appearances that have been observed so far and corrects the tracker if necessary. The learning estimates the detector's errors and updates it to avoid these errors in the future. We study how to identify the detector's errors and learn from them. We develop a novel learning method (P-N learning) which estimates the errors by a pair of “experts”: (1) P-expert estimates missed detections, and (2) N-expert estimates false alarms. The learning process is modeled as a discrete dynamical system and the conditions under which the learning guarantees improvement are found. We describe our real-time implementation of the TLD framework and the P-N learning. We carry out an extensive quantitative evaluation which shows a significant improvement over state-of-the-art approaches.","1939-3539","","10.1109/TPAMI.2011.239","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6104061","Long-term tracking;learning from video;bootstrapping;real time;semi-supervised learning.","Training;Detectors;Target tracking;Streaming media;Real time systems;Estimation","","2742","14","69","IEEE","13 Dec 2011","","","IEEE","IEEE Journals"
