"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Histograms of oriented gradients for human detection","N. Dalal; B. Triggs","INRIA Rhône-Alpes, Montbonnot, France; INRIA Rhône-Alpes, Montbonnot, France",2005 IEEE Computer Society Conference on Computer Vision and Pattern Recognition (CVPR'05),"25 Jul 2005","2005","1","","886","893 vol. 1","We study the question of feature sets for robust visual object recognition; adopting linear SVM based human detection as a test case. After reviewing existing edge and gradient based descriptors, we show experimentally that grids of histograms of oriented gradient (HOG) descriptors significantly outperform existing feature sets for human detection. We study the influence of each stage of the computation on performance, concluding that fine-scale gradients, fine orientation binning, relatively coarse spatial binning, and high-quality local contrast normalization in overlapping descriptor blocks are all important for good results. The new approach gives near-perfect separation on the original MIT pedestrian database, so we introduce a more challenging dataset containing over 1800 annotated human images with a large range of pose variations and backgrounds.","1063-6919","0-7695-2372-2","10.1109/CVPR.2005.177","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1467360","","Histograms;Humans;Robustness;Object recognition;Support vector machines;Object detection;Testing;Image edge detection;High performance computing;Image databases","","18376","485","22","IEEE","25 Jul 2005","","","IEEE","IEEE Conferences"
"Cognitive radio: brain-empowered wireless communications","S. Haykin","Adaptive Systems Laboratory, McMaster University, Hamilton, ONT, Canada",IEEE Journal on Selected Areas in Communications,"7 Feb 2005","2005","23","2","201","220","Cognitive radio is viewed as a novel approach for improving the utilization of a precious natural resource: the radio electromagnetic spectrum. The cognitive radio, built on a software-defined radio, is defined as an intelligent wireless communication system that is aware of its environment and uses the methodology of understanding-by-building to learn from the environment and adapt to statistical variations in the input stimuli, with two primary objectives in mind: /spl middot/ highly reliable communication whenever and wherever needed; /spl middot/ efficient utilization of the radio spectrum. Following the discussion of interference temperature as a new metric for the quantification and management of interference, the paper addresses three fundamental cognitive tasks. 1) Radio-scene analysis. 2) Channel-state estimation and predictive modeling. 3) Transmit-power control and dynamic spectrum management. This work also discusses the emergent behavior of cognitive radio.","1558-0008","","10.1109/JSAC.2004.839380","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1391031","Awareness;channel-state estimation and predictive modeling;cognition;competition and cooperation;emergent behavior;interference temperature;machine learning;radio-scene analysis;rate feedback;spectrum analysis;spectrum holes;spectrum management;stochastic games;transmit-power control;water filling","Cognitive radio;Wireless communication;Interference;Radio spectrum management;Electromagnetic spectrum;Intelligent systems;Channel estimation;Predictive models;Radio control;Temperature control","","9328","91","90","IEEE","7 Feb 2005","","","IEEE","IEEE Journals"
"Feature selection based on mutual information criteria of max-dependency, max-relevance, and min-redundancy","Hanchuan Peng; Fuhui Long; C. Ding","Lawrence Berkeley National Laboratory, University of California Berkeley, Berkeley, CA, USA; Lawrence Berkeley National Laboratory, University of California Berkeley, Berkeley, CA, USA; Computational Research Division, Lawrence Berkeley National Laboratory, Berkeley, CA, USA",IEEE Transactions on Pattern Analysis and Machine Intelligence,"20 Jun 2005","2005","27","8","1226","1238","Feature selection is an important problem for pattern classification systems. We study how to select good features according to the maximal statistical dependency criterion based on mutual information. Because of the difficulty in directly implementing the maximal dependency condition, we first derive an equivalent form, called minimal-redundancy-maximal-relevance criterion (mRMR), for first-order incremental feature selection. Then, we present a two-stage feature selection algorithm by combining mRMR and other more sophisticated feature selectors (e.g., wrappers). This allows us to select a compact set of superior features at very low cost. We perform extensive experimental comparison of our algorithm and other methods using three different classifiers (naive Bayes, support vector machine, and linear discriminate analysis) and four different data sets (handwritten digits, arrhythmia, NCI cancer cell lines, and lymphoma tissues). The results confirm that mRMR leads to promising improvement on feature selection and classification accuracy.","1939-3539","","10.1109/TPAMI.2005.159","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1453511","Index Terms- Feature selection;mutual information;minimal redundancy;maximal relevance;maximal dependency;classification.","Mutual information;Redundancy;Pattern classification;Diversity reception;Costs;Support vector machines;Support vector machine classification;Performance analysis;Algorithm design and analysis;Cancer","Algorithms;Artificial Intelligence;Cluster Analysis;Computer Simulation;Diagnosis, Computer-Assisted;Humans;Information Storage and Retrieval;Models, Statistical;Neoplasms;Neoplasms;Numerical Analysis, Computer-Assisted;Pattern Recognition, Automated","7529","48","32","IEEE","20 Jun 2005","","","IEEE","IEEE Journals"
"Toward the next generation of recommender systems: a survey of the state-of-the-art and possible extensions","G. Adomavicius; A. Tuzhilin","Carlson School of Management, University of Minnesota, Minneapolis, MN, USA; Stern School of Business, New York University, New York, NY, USA",IEEE Transactions on Knowledge and Data Engineering,"25 Apr 2005","2005","17","6","734","749","This paper presents an overview of the field of recommender systems and describes the current generation of recommendation methods that are usually classified into the following three main categories: content-based, collaborative, and hybrid recommendation approaches. This paper also describes various limitations of current recommendation methods and discusses possible extensions that can improve recommendation capabilities and make recommender systems applicable to an even broader range of applications. These extensions include, among others, an improvement of understanding of users and items, incorporation of the contextual information into the recommendation process, support for multicriteria ratings, and a provision of more flexible and less intrusive types of recommendations.","1558-2191","","10.1109/TKDE.2005.99","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1423975","Index Terms- Recommender systems;collaborative filtering;rating estimation methods;extensions to recommender systems.","Recommender systems;Collaborative work;Filtering;Books;Motion pictures;Hybrid power systems;Collaboration;Business;Context modeling;Cognitive science","","6822","126","112","IEEE","25 Apr 2005","","","IEEE","IEEE Journals"
"Consensus seeking in multiagent systems under dynamically changing interaction topologies","Wei Ren; R. W. Beard","Space Systems Laboratory, University of Maryland, College Park, MD, USA; Electrical and Computer Engineering Department, Brigham Young University, Provo, UT, USA",IEEE Transactions on Automatic Control,"16 May 2005","2005","50","5","655","661","This note considers the problem of information consensus among multiple agents in the presence of limited and unreliable information exchange with dynamically changing interaction topologies. Both discrete and continuous update schemes are proposed for information consensus. This note shows that information consensus under dynamically changing interaction topologies can be achieved asymptotically if the union of the directed interaction graphs have a spanning tree frequently enough as the system evolves.","1558-2523","","10.1109/TAC.2005.846556","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1431045","Cooperative control;graph theory;information consensus;multiagent systems;switched systems","Multiagent systems;Topology;Vehicles;Tree graphs;Control systems;Graph theory;Switched systems;Algorithm design and analysis;Protocols;Context","","5658","","17","IEEE","16 May 2005","","","IEEE","IEEE Journals"
"Decoding by linear programming","E. J. Candes; T. Tao","Department of Applied and Computational Mathematics, California Institute of Technology, Pasadena, CA, USA; Department of Mathematics, University of California, Los Angeles, CA, USA",IEEE Transactions on Information Theory,"21 Nov 2005","2005","51","12","4203","4215","This paper considers a natural error correcting problem with real valued input/output. We wish to recover an input vector f/spl isin/R/sup n/ from corrupted measurements y=Af+e. Here, A is an m by n (coding) matrix and e is an arbitrary and unknown vector of errors. Is it possible to recover f exactly from the data y? We prove that under suitable conditions on the coding matrix A, the input f is the unique solution to the /spl lscr//sub 1/-minimization problem (/spl par/x/spl par//sub /spl lscr/1/:=/spl Sigma//sub i/|x/sub i/|) min(g/spl isin/R/sup n/) /spl par/y - Ag/spl par//sub /spl lscr/1/ provided that the support of the vector of errors is not too large, /spl par/e/spl par//sub /spl lscr/0/:=|{i:e/sub i/ /spl ne/ 0}|/spl les//spl rho//spl middot/m for some /spl rho/>0. In short, f can be recovered exactly by solving a simple convex optimization problem (which one can recast as a linear program). In addition, numerical experiments suggest that this recovery procedure works unreasonably well; f is recovered exactly even in situations where a significant fraction of the output is corrupted. This work is related to the problem of finding sparse solutions to vastly underdetermined systems of linear equations. There are also significant connections with the problem of recovering signals from highly incomplete measurements. In fact, the results introduced in this paper improve on our earlier work. Finally, underlying the success of /spl lscr//sub 1/ is a crucial property we call the uniform uncertainty principle that we shall describe in detail.","1557-9654","","10.1109/TIT.2005.858979","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1542412","Basis pursuit;decoding of (random) linear codes;duality in optimization;Gaussian random matrices;linear codes;linear programming;principal angles;restricted orthonormality;singular values of random matrices;sparse solutions to underdetermined systems","Decoding;Linear programming;Vectors;Linear code;Sparse matrices;Mathematics;Error correction;Equations;Error correction codes;Information theory","","5047","54","29","IEEE","21 Nov 2005","","","IEEE","IEEE Journals"
"A performance evaluation of local descriptors","K. Mikolajczyk; C. Schmid","Department of Engineering Science, University of Oxford, Oxford, UK; INRIA Rhône-Alpes, Montbonnot, France",IEEE Transactions on Pattern Analysis and Machine Intelligence,"22 Aug 2005","2005","27","10","1615","1630","In this paper, we compare the performance of descriptors computed for local interest regions, as, for example, extracted by the Harris-Affine detector [Mikolajczyk, K and Schmid, C, 2004]. Many different descriptors have been proposed in the literature. It is unclear which descriptors are more appropriate and how their performance depends on the interest region detector. The descriptors should be distinctive and at the same time robust to changes in viewing conditions as well as to errors of the detector. Our evaluation uses as criterion recall with respect to precision and is carried out for different image transformations. We compare shape context [Belongie, S, et al., April 2002], steerable filters [Freeman, W and Adelson, E, Setp. 1991], PCA-SIFT [Ke, Y and Sukthankar, R, 2004], differential invariants [Koenderink, J and van Doorn, A, 1987], spin images [Lazebnik, S, et al., 2003], SIFT [Lowe, D. G., 1999], complex filters [Schaffalitzky, F and Zisserman, A, 2002], moment invariants [Van Gool, L, et al., 1996], and cross-correlation for different types of interest regions. We also propose an extension of the SIFT descriptor and show that it outperforms the original method. Furthermore, we observe that the ranking of the descriptors is mostly independent of the interest region detector and that the SIFT-based descriptors perform best. Moments and steerable filters show the best performance among the low dimensional descriptors.","1939-3539","","10.1109/TPAMI.2005.188","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1498756","Index Terms- Local descriptors;interest points;interest regions;invariance;matching;recognition.","Detectors;Filters;Robustness;Image recognition;Information retrieval;Image retrieval;Performance evaluation;Layout;Image databases;Spatial databases","Algorithms;Artificial Intelligence;Computer Simulation;Data Interpretation, Statistical;Image Enhancement;Image Interpretation, Computer-Assisted;Information Storage and Retrieval;Models, Statistical;Pattern Recognition, Automated;Software;Software Validation","4826","192","45","IEEE","22 Aug 2005","","","IEEE","IEEE Journals"
"Survey of clustering algorithms","Rui Xu; D. Wunsch","Department of Electrical and Computer Engineering, University of Missouri, Rolla, Rolla, MO, USA; Department of Electrical and Computer Engineering, University of Missouri, Rolla, Rolla, MO, USA",IEEE Transactions on Neural Networks,"9 May 2005","2005","16","3","645","678","Data analysis plays an indispensable role for understanding various phenomena. Cluster analysis, primitive exploration with little or no prior knowledge, consists of research developed across a wide variety of communities. The diversity, on one hand, equips us with many tools. On the other hand, the profusion of options causes confusion. We survey clustering algorithms for data sets appearing in statistics, computer science, and machine learning, and illustrate their applications in some benchmark data sets, the traveling salesman problem, and bioinformatics, a new field attracting intensive efforts. Several tightly related topics, proximity measure, and cluster validation, are also discussed.","1941-0093","","10.1109/TNN.2005.845141","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1427769","Adaptive resonance theory (ART);clustering;clustering algorithm;cluster validation;neural networks;proximity;self-organizing feature map (SOFM)","Clustering algorithms;Machine learning algorithms;Data analysis;Humans;Statistics;Computer science;Machine learning;Application software;Traveling salesman problems;Bioinformatics","Algorithms;Computer Simulation;Models, Statistical;Neural Networks (Computer);Numerical Analysis, Computer-Assisted;Pattern Recognition, Automated;Signal Processing, Computer-Assisted;Stochastic Processes","4163","39","297","IEEE","9 May 2005","","","IEEE","IEEE Journals"
"A non-local algorithm for image denoising","A. Buades; B. Coll; J. . -M. Morel","Department Matemàtiques i Informàtica, UIB, Palma de Mallorca, Spain; Department Matemàtiques i Informàtica, UIB, Palma de Mallorca, Spain; ENS Cachan, CMLA, Cachan, France",2005 IEEE Computer Society Conference on Computer Vision and Pattern Recognition (CVPR'05),"25 Jul 2005","2005","2","","60","65 vol. 2","We propose a new measure, the method noise, to evaluate and compare the performance of digital image denoising methods. We first compute and analyze this method noise for a wide class of denoising algorithms, namely the local smoothing filters. Second, we propose a new algorithm, the nonlocal means (NL-means), based on a nonlocal averaging of all pixels in the image. Finally, we present some experiments comparing the NL-means algorithm and the local smoothing filters.","1063-6919","0-7695-2372-2","10.1109/CVPR.2005.38","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1467423","","Image denoising;Noise reduction;Algorithm design and analysis;Smoothing methods;Wiener filter;Filtering;Noise measurement;Digital images;Pixel;White noise","","3815","96","16","IEEE","25 Jul 2005","","","IEEE","IEEE Conferences"
"The Design and Implementation of FFTW3","M. Frigo; S. G. Johnson","IBM Austin Research Laboratory, Austin, TX, USA; Massachusetts Institute of Technology, Cambridge, MA, USA",Proceedings of the IEEE,"24 Jan 2005","2005","93","2","216","231","FFTW is an implementation of the discrete Fourier transform (DFT) that adapts to the hardware in order to maximize performance. This paper shows that such an approach can yield an implementation that is competitive with hand-optimized libraries, and describes the software structure that makes our current FFTW3 version flexible and adaptive. We further discuss a new algorithm for real-data DFTs of prime size, a new way of implementing DFTs by means of machine-specific single-instruction, multiple-data (SIMD) instructions, and how a special-purpose compiler can derive optimized implementations of the discrete cosine and sine transforms automatically from a DFT algorithm.","1558-2256","","10.1109/JPROC.2004.840301","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1386650","Adaptive software;cosine transform;fast Fourier transform (FFT);Fourier transform;Hartley transform;I/O tensor","Discrete Fourier transforms;Multidimensional systems;Hardware;Software libraries;Discrete transforms;Fast Fourier transforms;Optimizing compilers;Discrete cosine transforms;Data structures;Fourier transforms","","3314","47","60","IEEE","24 Jan 2005","","","IEEE","IEEE Journals"
