"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"An Introduction To Compressive Sampling","E. J. Candes; M. B. Wakin","Ecole Polytechnique, Palaiseau, FR; University of Michigan, Ann Arbor, USA",IEEE Signal Processing Magazine,"21 Mar 2008","2008","25","2","21","30","Conventional approaches to sampling signals or images follow Shannon's theorem: the sampling rate must be at least twice the maximum frequency present in the signal (Nyquist rate). In the field of data conversion, standard analog-to-digital converter (ADC) technology implements the usual quantized Shannon representation - the signal is uniformly sampled at or above the Nyquist rate. This article surveys the theory of compressive sampling, also known as compressed sensing or CS, a novel sensing/sampling paradigm that goes against the common wisdom in data acquisition. CS theory asserts that one can recover certain signals and images from far fewer samples or measurements than traditional methods use.","1558-0792","","10.1109/MSP.2007.914731","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4472240","","Sampling methods;Image sampling;Protocols;Signal sampling;Image coding;Frequency;Signal processing;Data acquisition;Biomedical imaging;Receivers","","7749","170","30","IEEE","21 Mar 2008","","","IEEE","IEEE Magazines"
"Biogeography-Based Optimization","D. Simon","Department of Electrical Engineering, Cleveland State University, Cleveland, OH, USA",IEEE Transactions on Evolutionary Computation,"25 Nov 2008","2008","12","6","702","713","Biogeography is the study of the geographical distribution of biological organisms. Mathematical equations that govern the distribution of organisms were first discovered and developed during the 1960s. The mindset of the engineer is that we can learn from nature. This motivates the application of biogeography to optimization problems. Just as the mathematics of biological genetics inspired the development of genetic algorithms (GAs), and the mathematics of biological neurons inspired the development of artificial neural networks, this paper considers the mathematics of biogeography as the basis for the development of a new field: biogeography-based optimization (BBO). We discuss natural biogeography and its mathematics, and then discuss how it can be used to solve optimization problems. We see that BBO has features in common with other biology-based optimization methods, such as GAs and particle swarm optimization (PSO). This makes BBO applicable to many of the same types of problems that GAs and PSO are used for, namely, high-dimension problems with multiple local optima. However, BBO also has some features that are unique among biology-based optimization methods. We demonstrate the performance of BBO on a set of 14 standard benchmarks and compare it with seven other biology-based optimization algorithms. We also demonstrate BBO on a real-world sensor selection problem for aircraft engine health estimation.","1941-0026","","10.1109/TEVC.2008.919004","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4475427","Biogeography;evolutionary algorithms;Kalman filter;optimization;sensor selection","Biogeography;Mathematics;Optimization methods;Biological systems;Equations;Organisms;Genetic algorithms;Neurons;Artificial neural networks;Particle swarm optimization","","3251","1","39","IEEE","21 Mar 2008","","","IEEE","IEEE Journals"
"Isolation Forest","F. T. Liu; K. M. Ting; Z. -H. Zhou","Gippsland School of Information Technology, Monash University, VIC, Australia; Gippsland School of Information Technology, Monash University, VIC, Australia; National Key Laboratory for Novel Software Technology, Nanjing University, Nanjing, China",2008 Eighth IEEE International Conference on Data Mining,"10 Feb 2009","2008","","","413","422","Most existing model-based approaches to anomaly detection construct a profile of normal instances, then identify instances that do not conform to the normal profile as anomalies. This paper proposes a fundamentally different model-based method that explicitly isolates anomalies instead of profiles normal points. To our best knowledge, the concept of isolation has not been explored in current literature. The use of isolation enables the proposed method, iForest, to exploit sub-sampling to an extent that is not feasible in existing methods, creating an algorithm which has a linear time complexity with a low constant and a low memory requirement. Our empirical evaluation shows that iForest performs favourably to ORCA, a near-linear time complexity distance-based method, LOF and random forests in terms of AUC and processing time, and especially in large data sets. iForest also works well in high dimensional problems which have a large number of irrelevant attributes, and in situations where training set does not contain any anomalies.","2374-8486","978-0-7695-3502-9","10.1109/ICDM.2008.17","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4781136","anomaly detection;outlier detection;novelty detection;isolation forest;binary trees;model based","Application software;Credit cards;Detectors;Constraint optimization;Data mining;Information technology;Laboratories;Isolation technology;Performance evaluation;Astronomy","","3080","15","14","IEEE","10 Feb 2009","","","IEEE","IEEE Conferences"
"Stereo Processing by Semiglobal Matching and Mutual Information","H. Hirschmuller","German AeroSpace Center (DLR), Institute of Robotics and Mechatronics, Wessling, Germany",IEEE Transactions on Pattern Analysis and Machine Intelligence,"18 Dec 2007","2008","30","2","328","341","This paper describes the semiglobal matching (SGM) stereo method. It uses a pixelwise, mutual information (Ml)-based matching cost for compensating radiometric differences of input images. Pixelwise matching is supported by a smoothness constraint that is usually expressed as a global cost function. SGM performs a fast approximation by pathwise optimizations from all directions. The discussion also addresses occlusion detection, subpixel refinement, and multibaseline matching. Additionally, postprocessing steps for removing outliers, recovering from specific problems of structured environments, and the interpolation of gaps are presented. Finally, strategies for processing almost arbitrarily large images and fusion of disparity images using orthographic projection are proposed. A comparison on standard stereo images shows that SGM is among the currently top-ranked algorithms and is best, if subpixel accuracy is considered. The complexity is linear to the number of pixels and disparity range, which results in a runtime of just 1-2 seconds on typical test images. An in depth evaluation of the Ml-based matching cost demonstrates a tolerance against a wide range of radiometric transformations. Finally, examples of reconstructions from huge aerial frame and pushbroom images demonstrate that the presented ideas are working well on practical problems.","1939-3539","","10.1109/TPAMI.2007.1166","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4359315","stereo;mutual information;global optimization;multi-baseline;stereo;mutual information;global optimization;multi-baseline","Mutual information;Stereo vision;Radiometry;Cost function;Computational efficiency;Pixel;Interpolation;Image reconstruction;Image segmentation;Runtime","","2907","47","27","IEEE","18 Dec 2007","","","IEEE","IEEE Journals"
"Single-pixel imaging via compressive sampling","M. F. Duarte; M. A. Davenport; D. Takhar; J. N. Laska; T. Sun; K. F. Kelly; R. G. Baraniuk","Rice University, USA; Rice University, USA; Rice University, USA; University of Illinois, Urbana-Champaign, USA; Rice University, USA; Rice University, USA; Rice University, USA",IEEE Signal Processing Magazine,"21 Mar 2008","2008","25","2","83","91","The authors present a new approach to building simpler, smaller, and cheaper digital cameras that can operate efficiently across a broader spectral range than conventional silicon-based cameras. The approach fuses a new camera architecture based on a digital micromirror device with the new mathematical theory and algorithms of compressive sampling.","1558-0792","","10.1109/MSP.2007.914730","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4472247","","Sampling methods;Digital cameras;Layout;Optical computing;Lenses;Hyperspectral imaging;Image reconstruction;Computer architecture;CMOS image sensors;Charge coupled devices","","2586","72","31","IEEE","21 Mar 2008","","","IEEE","IEEE Magazines"
"Interference Alignment and Degrees of Freedom of the  $K$-User Interference Channel","V. R. Cadambe; S. A. Jafar","Department of Electrical Engineering and Computer Science, Irvine, CA, USA; Department of Electrical Engineering and Computer Science, Irvine, CA, USA",IEEE Transactions on Information Theory,"16 Jul 2008","2008","54","8","3425","3441","For the fully connected K user wireless interference channel where the channel coefficients are time-varying and are drawn from a continuous distribution, the sum capacity is characterized as C(SNR)=K/2log(SNR)+o(log(SNR)) . Thus, the K user time-varying interference channel almost surely has K/2 degrees of freedom. Achievability is based on the idea of interference alignment. Examples are also provided of fully connected K user interference channels with constant (not time-varying) coefficients where the capacity is exactly achieved by interference alignment at all SNR values.","1557-9654","","10.1109/TIT.2008.926344","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4567443","Capacity;degrees of freedom;interference alignment;interference channel;multiple-input–multiple-output (MIMO);multiplexing","Interference channels;Decoding;Additive white noise;Gaussian noise;MIMO;Optical arrays;Wireless networks;Engineering profession;Communication system control;Pervasive computing","","2492","54","29","IEEE","16 Jul 2008","","","IEEE","IEEE Journals"
"Femtocell networks: a survey","V. Chandrasekhar; J. G. Andrews; A. Gatherer","Electrical and Computer Engineering Department, University of Texas, Austin, USA; University of Texas, Austin, USA; Texas Instruments",IEEE Communications Magazine,"12 Sep 2008","2008","46","9","59","67","The surest way to increase the system capacity of a wireless link is by getting the transmitter and receiver closer to each other, which creates the dual benefits of higher-quality links and more spatial reuse. In a network with nomadic users, this inevitably involves deploying more infrastructure, typically in the form of microcells, hot spots, distributed antennas, or relays. A less expensive alternative is the recent concept of femtocells - also called home base stations - which are data access points installed by home users to get better indoor voice and data coverage. In this article we overview the technical and business arguments for femtocells and describe the state of the art on each front. We also describe the technical challenges facing femtocell networks and give some preliminary ideas for how to overcome them.","1558-1896","","10.1109/MCOM.2008.4623708","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4623708","","Femtocell networks;Macrocell networks;Poles and towers;Interference;Microcell networks;Microwave antennas;Telecommunication network reliability;Telecommunication traffic;Spine;DSL","","2471","39","15","IEEE","12 Sep 2008","","","IEEE","IEEE Magazines"
"Learning realistic human actions from movies","I. Laptev; M. Marszalek; C. Schmid; B. Rozenfeld","INRIA Rennes, IRISA, France; INRIA Grenoble, France; LEAR-LJK; Bar-llan University, Israel",2008 IEEE Conference on Computer Vision and Pattern Recognition,"5 Aug 2008","2008","","","1","8","The aim of this paper is to address recognition of natural human actions in diverse and realistic video settings. This challenging but important subject has mostly been ignored in the past due to several problems one of which is the lack of realistic and annotated video datasets. Our first contribution is to address this limitation and to investigate the use of movie scripts for automatic annotation of human actions in videos. We evaluate alternative methods for action retrieval from scripts and show benefits of a text-based classifier. Using the retrieved action samples for visual learning, we next turn to the problem of action classification in video. We present a new method for video classification that builds upon and extends several recent ideas including local space-time features, space-time pyramids and multi-channel non-linear SVMs. The method is shown to improve state-of-the-art results on the standard KTH action dataset by achieving 91.8% accuracy. Given the inherent problem of noisy labels in automatic annotation, we particularly investigate and show high tolerance of our method to annotation errors in the training set. We finally apply the method to learning and classifying challenging action classes in movies and show promising results.","1063-6919","978-1-4244-2242-5","10.1109/CVPR.2008.4587756","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4587756","","Humans;Motion pictures;Image recognition;Video sharing;Layout;Text categorization;Object recognition;Robustness;Clothing;Cameras","","2450","22","21","IEEE","5 Aug 2008","","","IEEE","IEEE Conferences"
"Sensing-Throughput Tradeoff for Cognitive Radio Networks","Y. -C. Liang; Y. Zeng; E. C. Y. Peh; A. T. Hoang","Institute for Infocomm Research, Agency for Science, Technology and Research, Singapore; Institute for Infocomm Research, Agency for Science, Technology and Research, Singapore; Institute for Infocomm Research, Agency for Science, Technology and Research (ASTAR), Singapore; Institute for Infocomm Research, Agency for Science, Technology and Research (ASTAR), Singapore",IEEE Transactions on Wireless Communications,"15 Apr 2008","2008","7","4","1326","1337","In a cognitive radio network, the secondary users are allowed to utilize the frequency bands of primary users when these bands are not currently being used. To support this spectrum reuse functionality, the secondary users are required to sense the radio frequency environment, and once the primary users are found to be active, the secondary users are required to vacate the channel within a certain amount of time. Therefore, spectrum sensing is of significant importance in cognitive radio networks. There are two parameters associated with spectrum sensing: probability of detection and probability of false alarm. The higher the probability of detection, the better the primary users are protected. However, from the secondary users' perspective, the lower the probability of false alarm, the more chances the channel can be reused when it is available, thus the higher the achievable throughput for the secondary network. In this paper, we study the problem of designing the sensing duration to maximize the achievable throughput for the secondary network under the constraint that the primary users are sufficiently protected. We formulate the sensing-throughput tradeoff problem mathematically, and use energy detection sensing scheme to prove that the formulated problem indeed has one optimal sensing time which yields the highest throughput for the secondary network. Cooperative sensing using multiple mini-slots or multiple secondary users are also studied using the methodology proposed in this paper. Computer simulations have shown that for a 6 MHz channel, when the frame duration is 100 ms, and the signal-to-noise ratio of primary user at the secondary receiver is -20 dB, the optimal sensing time achieving the highest throughput while maintaining 90% detection probability is 14.2 ms. This optimal sensing time decreases when distributed spectrum sensing is applied.","1558-2248","","10.1109/TWC.2008.060869","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4489760","","Cognitive radio;Throughput;FCC;Protection;Wireless sensor networks;TV;Radio frequency;Computer simulation;Receivers","","2365","13","20","IEEE","15 Apr 2008","","","IEEE","IEEE Journals"
"Cyber Physical Systems: Design Challenges","E. A. Lee","Center for Hybrid and Embedded Software Systems, EECS, University of California Berkeley, Berkeley, CA, USA",2008 11th IEEE International Symposium on Object and Component-Oriented Real-Time Distributed Computing (ISORC),"14 May 2008","2008","","","363","369","Cyber-Physical Systems (CPS) are integrations of computation and physical processes. Embedded computers and networks monitor and control the physical processes, usually with feedback loops where physical processes affect computations and vice versa. The economic and societal potential of such systems is vastly greater than what has been realized, and major investments are being made worldwide to develop the technology. There are considerable challenges, particularly because the physical components of such systems introduce safety and reliability requirements qualitatively different from those in general- purpose computing. Moreover, physical components are qualitatively different from object-oriented software components. Standard abstractions based on method calls and threads do not work. This paper examines the challenges in designing such systems, and in particular raises the question of whether today's computing and networking technologies provide an adequate foundation for CPS. It concludes that it will not be sufficient to improve design processes, raise the level of abstraction, or verify (formally or otherwise) designs that are built on today's abstractions. To realize the full potential of CPS, we will have to rebuild computing and networking abstractions. These abstractions will have to embrace physical dynamics and computation in a unified way.","2375-5261","978-0-7695-3132-8","10.1109/ISORC.2008.25","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4519604","Cyber-physical systems;real time;embedded systems","Physics computing;Computer networks;Embedded computing;Computerized monitoring;Process control;Feedback loop;Investments;Safety;Software quality;Yarn","","2241","1","34","IEEE","14 May 2008","","","IEEE","IEEE Conferences"
