"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Table of Contents January 2025","",,IEEE Latin America Transactions,"19 Dec 2024","2025","23","1","1","1","","1548-0992","","10.1109/TLA.2025.10810395","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10810395","","Irrigation;Training;Solar irradiance;Prediction methods;Performance evaluation;Optimization;Older adults;Microgrids;Hydraulic turbines;Gaze tracking","","","","","IEEE","19 Dec 2024","","","IEEE","IEEE Journals"
"Sphere Decoding for Binary Polar Codes with the Modified Multiplicative Repetition Construction","H. Chen; Y. Liu; S. Dang; Q. Li; Y. Sun; X. Li","School of Computer, Electronics and Information, Guangxi University, Nanning, China; School of Computer, Electronics and Information, Guangxi University, Nanning, China; School of Electrical, Electronic and Mechanical Engineering, University of Bristol, Bristol, UK; Information and Engineering College, Nanning University, Nanning, China; School of Computer, Electronics and Information, Guangxi University, Nanning, China; School of Computer, Electronics and Information, Guangxi University, Nanning, China",Tsinghua Science and Technology,"30 Dec 2024","2025","30","3","1229","1236","Compared to the successive cancellation (SC)-based decoding algorithms, the sphere decoding (SD) algorithm can achieve better performance with reduced computational complexity, especially for short polar codes. In this paper, we propose a new method to construct the binary polar codes with the modified multiplicative repetition (MR)-based matrix. Different from the original construction, we first design a $2\times 2\ q\text{-ary}$ kernel to guarantee the single-level polarization effect. Then, by replacing the new-designed binary companion matrix, a novel strategy is further developed to enhance the polarization in the bit level, resulting in a better distance property. Finally, the SD-based Monte-Carlo (SDMC) method is used to construct MR-based binary polar codes, while the resulting codes without the butterfly pattern are decoded by the SD algorithm. Simulation results show that the proposed method with the SD algorithm can achieve a maximum performance gain of 0.27 dB compared to the original method with slightly lower complexity.","1007-0214","","10.26599/TST.2024.9010030","National Natural Science Foundation of China(grant numbers:62261003,62361003,61961004); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10817720","polar codes;sphere decoding;generator matrix;multiplicative repetition;Monte-Carlo method","Monte Carlo methods;Codes;Simulation;Performance gain;Benchmark testing;Generators;Decoding;Polar codes;Kernel;Computational complexity","","1","","19","","30 Dec 2024","","","TUP","TUP Journals"
"Challenging SWOT: Early Assessment of Level 2 High-Rate River Products in an Urbanized, Low Elevation Coastal Zone","F. Rodrigues do Amaral; T. Nguyen Trung; T. Pellarin; N. Gratiot","CNRS, IRD, IGE, Université Grenoble Alpes, Grenoble, France; Center for Asian Research on Water (CARE), Ho Chi Minh City University of Technology (HCMUT), Ho Chi Minh City, Vietnam; CNRS, IRD, IGE, Université Grenoble Alpes, Grenoble, France; CNRS, IRD, IGE, Université Grenoble Alpes, Grenoble, France",IEEE Geoscience and Remote Sensing Letters,"12 Dec 2024","2025","22","","1","5","The surface water and ocean topography (SWOT) mission offers groundbreaking opportunities to observe fine-scale spatial changes in low elevation coastal zones (LECZs). This study explores the first SWOT data in one of the mission’s most challenging environments: a data-scarce, tropical region with flat topography, heavy urbanization, and a river with a weak, tidally influenced slope. We focus on SWOT’s water surface elevation (WSE) and water surface slope (WSS) products at the reach level, comparing the measurements to in situ data. Our analysis shows that about half of SWOT’s WSE and WSS measurements fall within the desired error budgets, though WSS lacks linear correlation with in situ data. At this early stage, both SWOT’s WSE and WSS require validation in such complex areas. However, as SWOT’s high-resolution observations improve over time and are integrated with other data, they are expected to provide valuable insights into dynamic river and estuarine processes.","1558-0571","","10.1109/LGRS.2024.3501407","Center for Asian Research on Water (CARE); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10758312","Estuary;low elevation coastal zone (LECZ);surface water and ocean topography (SWOT);tidal river;water surface elevation (WSE);water surface slope (WSS)","Rivers;Sea measurements;Orbits;Urban areas;Sea surface;Measurement uncertainty;Extraterrestrial measurements;Surface topography;Reservoirs;Oceans","","","","24","CCBY","19 Nov 2024","","","IEEE","IEEE Journals"
"Effect of High Monochromatic Radiation on the Electrical Performance of CIGS Solar Cell","C. Casu; M. Buffolo; A. Caria; C. De Santi; N. Trivellin; A. Cester; S. Rampino; M. Bronzoni; M. Mazzer; G. Meneghesso; E. Zanoni; M. Meneghini","Department of Information Engineering, University of Padova, Padova, Italy; Department of Information Engineering, University of Padova, Padova, Italy; Department of Information Engineering, University of Padova, Padova, Italy; Department of Information Engineering, University of Padova, Padova, Italy; Department of Industrial Engineering, University of Padova, Padova, Italy; Department of Information Engineering, University of Padova, Padova, Italy; Institute of Materials for Electronics and Magnetism, National Research Council, Parma, Italy; Institute of Materials for Electronics and Magnetism, National Research Council, Parma, Italy; Institute of Materials for Electronics and Magnetism, National Research Council, Parma, Italy; Department of Information Engineering, University of Padova, Padova, Italy; Department of Information Engineering, University of Padova, Padova, Italy; Department of Information Engineering, University of Padova, Padova, Italy",IEEE Journal of Photovoltaics,"24 Dec 2024","2025","15","1","73","78","In this article, we investigate the optically induced degradation of Cu(InGa)Se2 (CIGS) solar cells subjected to monochromatic laser irradiation. The devices under test are bifacial CIGS solar cells, fabricated on fluorine-doped SnO2 glass substrates. The electrical properties under dark and illumination conditions were characterized before laser exposure. The analysis of the current–voltage characteristics indicated that defect-assisted carrier transport dominates within the space charge region. Continuous laser exposure at constant optical power caused a decrease in open-circuit voltage (Voc). The study of the dark current–voltage curves highlights a change in the saturation current (IS) and ideality factor (n), whose increment follows a square-root dependence on time. This behavior is attributed to diffusion of Na ions toward the junction. Conversely, the Voc decay (which is correlated with the turn-on voltage decrease in dark I–V curve) is ascribed to a light-induced defect generation that enhances leakage current at the CdS/CIGS interface.","2156-3403","","10.1109/JPHOTOV.2024.3492281","Fotovoltaico ad alta efficienza; Italian Ministry of the Environment and Energy Security; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10770815","Blue wavelength;carrier transport;CdS/CIGS interface;Cu(InGa)Se  $_2$   (CIGS) solar cells;defect-assisted;degradation;Na diffusion;one-diode model","Stress;Photovoltaic cells;Degradation;Market research;Voltage;Photovoltaic systems;Lighting;Laser beams;Temperature measurement;Optical saturation","","","","28","CCBYNCND","28 Nov 2024","","","IEEE","IEEE Journals"
"High Power 780 nm Broad-Area DFB Laser With Narrow Spectral Width","L. Zhu; W. Liu; J. Qin; Y. Shao; S. Tan; J. Wang","College of Electronics and Information Engineering, Sichuan University, Chengdu, China; College of Electronics and Information Engineering, Sichuan University, Chengdu, China; College of Electronics and Information Engineering, Sichuan University, Chengdu, China; Suzhou Everbright Photonics Company Ltd., Suzhou, China; Suzhou Everbright Photonics Company Ltd., Suzhou, China; College of Electronics and Information Engineering, Sichuan University, Chengdu, China",IEEE Photonics Journal,"20 Dec 2024","2025","17","1","1","6","The 7xx nm laser diode is the core pump source for Diode Pumped Alkali Vapor Laser (DPAL). For these applications, high power and narrow spectral width are essential. Traditional Fabry-Pérot (FP) diode lasers can provide high continuous output power, but their spectral width is too broad for many applications. By burying a Bragg grating within the semiconductor, a narrow and temperature-stable spectrum can be achieved. In this paper, we investigate the factors limiting the power enhancement of distributed feedback (DFB) lasers and characterize the grown gratings using transmission electron microscopy. We discuss the effects of grating coupling strength, wavelength detuning, and oxygen contamination in the grating region on performance. Under optimized growth conditions, a high-performance 780 nm DFB laser based on InGaAsP/InGaP gratings has been developed, achieving a continuous output power exceeding 10 W, which is the highest power for a 780 nm DFB laser to date. The spectral linewidth (FWHM) is less than 0.5 nm, and the device maintains locking across the entire operating current and a wide temperature range.","1943-0655","","10.1109/JPHOT.2024.3507802","National Key R&D Program of China(grant numbers:2023YFB3610800); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10769983","Distributed-feedback laser;780 nm;high-power;monolithic stabilization","Gratings;Distributed feedback devices;Semiconductor lasers;Laser modes;Laser feedback;Power lasers;Laser excitation;Couplings;Pump lasers;Bragg gratings","","","","30","CCBYNCND","27 Nov 2024","","","IEEE","IEEE Journals"
"Laser-Induced Quench Study of the Magneto-Thermal Stability of Nb3Sn Wires","J. H. Kuczynska; S. C. Hopkins; C. Senatore; T. Boutboul","University of Geneva, Geneva, Switzerland; Technology Department, CERN, Geneva, Switzerland; Department of Applied Physics, University of Geneva, Geneva, Switzerland; Technology Department, CERN, Geneva, Switzerland",IEEE Transactions on Applied Superconductivity,"27 Dec 2024","2025","35","5","1","6","In the pursuit of developing 14+ T Nb3Sn magnets for a future energy-frontier circular collider, there is a growing demand for wires with enhanced critical current density (Jc), larger diameters, and lower copper-to-non-copper ratios. These requirements pose significant challenges to maintaining magnetothermal stability of the superconducting wires. This paper explores the technical aspects of non-traditional measurements of the Minimum Quench Energy (MQE) triggered by an ultra-violet pulsed laser. The advantage of a pulsed laser as opposed to the more commonly used resistive heaters is the speed: the laser deposits the energy in nanoseconds, significantly faster than the characteristic time of temperature diffusion in the samples tested. Methods for calibration of the energy absorbed by the wire are also discussed. The stability of internal tin and powder-in-tube Nb3Sn wire designs, originally specified for the requirements of the quadrupole (MQXF) magnets for the High Luminosity upgrade of the Large Hadron Collider, was evaluated under applied magnetic fields ranging from 5 T to 15 T and at both 1.9 K and 4.2 K. Notable trends were observed in the energy required to induce a quench at a constant current level as a function of the magnetic field. These trends persisted even as the superconductor approached current levels where premature quenches occur. Results suggest that the superconductor applied in the MQXF magnets cannot be quenched at the operating point by the energy available in this study, with a considerable margin.","1558-2515","","10.1109/TASC.2024.3513943","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10787240","Critical current;critical current measurement;minimum quench energy (MQE);Nb  $_3$  Sn wire;stability","Fiber lasers;Wires;Superconducting magnets;Optical fibers;Measurement by laser beam;Energy measurement;Temperature measurement;Thermal stability;Surface emitting lasers;Magnetic field measurement","","","","16","CCBY","9 Dec 2024","","","IEEE","IEEE Journals"
"Intelligent and Application-Oriented Optimal Design of Travelling Field Flux Pumps","G. Russo; M. Yazdani-Asrami; M. Fabbri; A. Morandi","Department of Electrical, University of Bologna, Electronic and Information Engineering, Bologna, Italy; CryoElectric Research Lab, Propulsion, Electrification, and Superconductivity Group, Autonomous Systems and Connectivity Division, James Watt School of Engineering, University of Glasgow, Glasgow, U.K.; Department of Electrical, University of Bologna, Electronic and Information Engineering, Bologna, Italy; Department of Electrical, University of Bologna, Electronic and Information Engineering, Bologna, Italy",IEEE Transactions on Applied Superconductivity,"31 Dec 2024","2025","35","5","1","5","Flux pumping based on traveling field is a promising technology, potentially able to produce breakthrough innovation in the supply of HTS magnets, which offers a contactless, low-voltage, and high-current alternative to power electronics exciters and current leads solutions. However, their engineering process has proved to present major challenges. Previous studies have empirically investigated, either numerically or experimentally, the impact of individual design parameters on the outputs and performance of flux pumps, but they were only able to provide qualitative relations that are not suitable for proper designing actions. In this study, we propose a new approach based on artificial intelligence (AI) techniques to generate effective flux pump designs. A finite element (FE) model, previously validated against experimental results, was employed in this procedure to provide a relation between the design parameters of the flux pump and the objective function of the optimization problem, that is the maximum efficiency during persistent operation. The FE model is exploited in the form of a function that is fed into AI-based optimization algorithms such as the genetic algorithm and the particle swarm optimization. The established procedure offers a “systematic” method for the design of viable and efficient flux pumps for contactless energization HTS magnets in real applications.","1558-2515","","10.1109/TASC.2024.3509405","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10789172","DC superconducting magnet;design optimiza- tion;flux pump;fusion magnet;HTS dynamo;HTS power supply","High-temperature superconductors;Generators;Optimization;Coils;Superconductivity;Superconducting magnets;Rotors;Permanent magnets;Artificial intelligence;Power supplies","","","","45","CCBY","11 Dec 2024","","","IEEE","IEEE Journals"
"Knowledge Error Detection via Textual and Structural Joint Learning","X. Wang; X. Ao; F. Zhang; Z. Zhang; Q. He","Henan Institute of Advanced Technology, Zhengzhou University, Zhengzhou, China; Key Laboratory of AI Safety, CAS, Beijing, China; Key Laboratory of AI Safety, CAS, Beijing, China; Key Laboratory of AI Safety, CAS, Beijing, China; Henan Institute of Advanced Technology, Zhengzhou University, Zhengzhou, China",Big Data Mining and Analytics,"19 Dec 2024","2025","8","1","233","240","Knowledge graphs are essential tools for representing real-world facts and finding wide applications in various domains. However, the process of constructing knowledge graphs often introduces noises and errors, which can negatively impact the performance of downstream applications. Current methods for knowledge graph error detection primarily focus on graph structure and overlook the importance of textual information in error detection. Therefore, this paper proposes a novel error detection framework that combines both structural and textual information. The framework utilizes a confidence module for error detection while generating knowledge embeddings. The performance of this approach outperforms baseline methods in error detection and link prediction experiments, particularly achieving state-of-the-art performance in the error detection task.","2097-406X","","10.26599/BDMA.2024.9020040","National Natural Science Foundation of China(grant numbers:61976204,31900979,U1811461); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10807337","Knowledge Graph (KG);error detection;textual information;confidence score","Noise;Knowledge graphs;Big Data;Data mining","","","","27","","19 Dec 2024","","","TUP","TUP Journals"
"Comparison of Commercial TOPCon PV Modules in Accelerated Aging Tests","P. Gebhardt; S. Marletti; J. Markert; U. Kräling; M. Tu; I. Haedrich; D. Philipp","Fraunhofer Institute for Solar Energy Systems ISE, Freiburg, Germany; RWE Clean Energy LLC, Chicago, IL, USA; Fraunhofer Institute for Solar Energy Systems ISE, Freiburg, Germany; Fraunhofer Institute for Solar Energy Systems ISE, Freiburg, Germany; RWE Renewables Europe and Australia GmbH, Essen, Germany; Fraunhofer Institute for Solar Energy Systems ISE, Freiburg, Germany; Fraunhofer Institute for Solar Energy Systems ISE, Freiburg, Germany",IEEE Journal of Photovoltaics,"24 Dec 2024","2025","15","1","24","29","Tunnel oxide passivated contact (TOPCon) is set to become the new mainstream cell technology despite pending reliability concerns. This work compares commercially available TOPCon photovoltaic (PV) module types from five different manufacturers in a variety of electrical characterization and accelerated aging tests. This case study represents a selection process of PV modules for larger PV installations. Therefore, the work features an in-depth comparison of the electrical performance (energy rating) that can serve as a reference for state-of-the-art TOPCon modules. The aging results confirm previously reported degradation mechanisms of the TOPCon technology due to humidity ingress. In the case of UV aging, a new pattern of strong degradation (up to –12% after 60 kWh/m2;) and subsequent recovery after humidity freeze test is presented, which could have implications on the results of certification tests (IEC61730-2, Sequence B). Though not directly connected to the TOPCon cell technology, the mechanical load tests revealed weaknesses of several module types, related to module dimensions, frame height, and glass properties. Based on the results, the necessity for more focused testing and technological development is highlighted.","2156-3403","","10.1109/JPHOTOV.2024.3483317","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10746853","Accelerated aging;corrosion;degradation;energy rating;mechanical load;PV Modules;TOPCon;UV","Degradation;Radiation effects;IEC Standards;Glass;Accelerated aging;Thermal stability;Testing;Photovoltaic systems;Moisture;Life estimation","","","","25","CCBY","7 Nov 2024","","","IEEE","IEEE Journals"
"Accurately Predicting the Performance of Polymer-Based CMUTs by Coupling Finite-Element and Analytical Models","M. Angerer; J. Welsch; C. D. Gerardo; E. Cretu; R. Rohling","Department of Electrical and Computer Engineering, The University of British Columbia, Vancouver, Canada; Department of Electrical and Computer Engineering, The University of British Columbia, Vancouver, Canada; Department of Electrical and Computer Engineering, The University of British Columbia, Vancouver, Canada; Department of Electrical and Computer Engineering, The University of British Columbia, Vancouver, Canada; Department of Electrical and Computer Engineering, The University of British Columbia, Vancouver, Canada","IEEE Open Journal of Ultrasonics, Ferroelectrics, and Frequency Control","","2025","PP","99","1","1","This paper introduces a hybrid modeling approach to accurately predict the performance of polymer-based Capacitive Micromachined Ultrasonic Transducers (polyCMUTs) by coupling finite element analysis (FEA) with analytical methods. The coupled FEA and analytical (CFA) model integrates characteristics from a single-cell FEA into a multi-cell equivalent circuit. Acoustic cross-coupling between cells is considered using analytical methods, and the acoustic far-field is computed via the Rayleigh integral. We validated the model on rectangular designs with 11x11 cells and varying cell-to-cell pitches. CFA results showed in average less than 7% deviation from full FEA in terms of center frequency, fractional bandwidth, and peak sensitivity, while requiring less than 1% of the computation time. We also observed good agreements with measurements, with a deviation of 17% for the rectangular designs and less than 4% for a larger linear array element (428 cells) we recently produced. This makes the CFA model a powerful tool for fast design exploration and optimization of CMUTs.","2694-0884","","10.1109/OJUFFC.2025.3526123","Wellcome Leap(grant numbers:In-Utero Program); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10824871","Capacitive Micromachined Ultrasonic Transducer;Transducer Modeling (FEA and Analytical);Transducer Fabrication Technology;Polymer-based Transducers","","","","","","CCBY","3 Jan 2025","","","IEEE","IEEE Early Access Articles"
