"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Inside front cover","",,Journal of Systems Engineering and Electronics,"22 Mar 2018","2018","29","1","c2","c2","","1004-4132","","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8320407","","","","","","","","22 Mar 2018","","","BIAI","BIAI Journals"
"Front cover","",,Journal of Systems Engineering and Electronics,"6 Sep 2018","2018","29","4","c1","c1","","1004-4132","","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8456467","","","","","","","","6 Sep 2018","","","BIAI","BIAI Journals"
"Front Cover","",,Journal of Systems Engineering and Electronics,"3 Jan 2019","2018","29","6","c1","c1","","1004-4132","","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8599032","","","","","","","","3 Jan 2019","","","BIAI","BIAI Journals"
"Inside back cover","",,Journal of Systems Engineering and Electronics,"22 Mar 2018","2018","29","1","c3","c3","","1004-4132","","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8320431","","","","","","","","22 Mar 2018","","","BIAI","BIAI Journals"
"Inside back cover","",,Journal of Systems Engineering and Electronics,"9 Jul 2018","2018","29","3","c3","c3","","1004-4132","","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8407064","","","","","","","","9 Jul 2018","","","BIAI","BIAI Journals"
"Inside front cover","",,Journal of Systems Engineering and Electronics,"15 Nov 2018","2018","29","5","c2","c2","","1004-4132","","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8536731","","Social networking (online);Message service","","","","","","15 Nov 2018","","","BIAI","BIAI Journals"
"Front cover","",,Journal of Systems Engineering and Electronics,"9 Jul 2018","2018","29","3","c1","c1","","1004-4132","","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8406334","","","","","","","","9 Jul 2018","","","BIAI","BIAI Journals"
"Front Cover","",,Fuzzy Information and Engineering,"13 Mar 2024","2018","10","4","1","1","","1616-8666","","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10471889","","","","","","","","13 Mar 2024","","","TUP","TUP Journals"
"Secure Authentication Protocol for Mobile Payment","K. Fan; H. Li; W. Jiang; C. Xiao; Y. Yang","Xidian University, Xian, Shaanxi, CN; Xidian University, Xian, Shaanxi, CN; Xidian University, Xian, Shaanxi, CN; Shanghai Haijiye High Tech Co. Ltd, Shanghai 200000, China; Xidian University, Xian, Shaanxi, CN",Tsinghua Science and Technology,"16 Sep 2018","2018","23","5","610","620","With the increasing popularity of fintech, i.e., financial technology, the e-commerce market has grown rapidly in the past decade, such that mobile devices enjoy unprecedented popularity and are playing an everincreasing role in e-commerce. This is especially true of mobile payments, which are attracting increasing attention. However, the occurrence of many traditional financial mishaps has exposed the challenges inherent in online authentication technology that is based on traditional modes of realizing the healthy and stable development of mobile payment. In addition, this technology ensures user account security and privacy. In this paper, we propose a Secure Mutual Authentication Protocol (SMAP) based on the Universal 2nd Factor (U2F) protocol for mobile payment. To guarantee reliable service, we use an asymmetric cryptosystem for achieving mutual authentication between the server and client, which can resist fake servers and forged terminals. Compared to the modes currently used, the proposed protocol strengthens the security of user account information as well as individual privacy throughout the mobile-payment transaction process. Practical application has proven the security and convenience of the proposed protocol.","1007-0214","","10.26599/TST.2018.9010031","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8450873","mutual authentication; security; privacy; Universal 2nd Factor (U2F); mobile payment","Authentication;Protocols;Mobile handsets;Credit cards;Universal Serial Bus","","24","","","","16 Sep 2018","","","TUP","TUP Journals"
"A scheduling optimization technique based on reuse in spark to defend against apt attack","J. Tang; M. Xu; S. Fu; K. Huang","National University of Defense Technology, Changsha, Hunan, CN; National University of Defense Technology, Changsha, Hunan, CN; National University of Defense Technology, Changsha, Hunan, CN; National University of Defense Technology, Changsha, Hunan, CN",Tsinghua Science and Technology,"16 Sep 2018","2018","23","5","550","560","Advanced Persistent Threat (APT) attack, an attack option in recent years, poses serious threats to the security of governments and enterprises data due to its advanced and persistent attacking characteristics. To address this issue, a security policy of big data analysis has been proposed based on the analysis of log data of servers and terminals in Spark. However, in practical applications, Spark cannot suitably analyze very huge amounts of log data. To address this problem, we propose a scheduling optimization technique based on the reuse of datasets to improve Spark performance. In this technique, we define and formulate the reuse degree of Directed Acyclic Graphs (DAGs) in Spark based on Resilient Distributed Datasets (RDDs). Then, we define a global optimization function to obtain the optimal DAG sequence, that is, the sequence with the least execution time. To implement the global optimization function, we further propose a novel cost optimization algorithm based on the traditional Genetic Algorithm (GA). Our experiments demonstrate that this scheduling optimization technique in Spark can greatly decrease the time overhead of analyzing log data for detecting APT attacks.","1007-0214","","10.26599/TST.2018.9010022","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8450868","Spark; Advanced Persistent Threat (APT); schedule; reuse; Resilient Distributed Dataset (RDD);Directed Acyclic Graph (DAG); Genetic Algorithm (GA)","Sparks;Optimization;Scheduling;Security;Genetic algorithms;Big Data;Scheduling algorithms","","10","","","","16 Sep 2018","","","TUP","TUP Journals"
"Secureweb: Protecting sensitive information through the web browser extension with a security token","S. Liang; Y. Zhang; B. Li; X. Guo; C. Jia; Z. Liu","Nankai University, Tianjin, Tianjin, CN; Nankai University, Tianjin, Tianjin, CN; Nankai University, Tianjin, Tianjin, CN; Nankai University, Tianjin, Tianjin, CN; Nankai University, Tianjin, Tianjin, CN; Nankai University, Tianjin, Tianjin, CN",Tsinghua Science and Technology,"16 Sep 2018","2018","23","5","526","538","The leakage of sensitive data occurs on a large scale and with increasingly serious impact. It may cause privacy disclosure or even property damage. Password leakage is one of the fundamental reasons for information leakage, and its importance is must be emphasized because users are likely to use the same passwords for different Web application accounts. Existing approaches use a password manager and encrypted Web application to protect passwords and other sensitive data; however, they may be compromised or lack accessibility. The paper presents SecureWeb, which is a secure, practical, and user-controllable framework for mitigating the leakage of sensitive data. SecureWeb protects users’ passwords and aims to provide a unified protection solution to diverse sensitive data. The efficiency of the developed schemes is demonstrated and the results indicate that it has a low overhead and are of practical use.","1007-0214","","10.26599/TST.2018.9010015","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8450866","password manager; data privacy; format-preserving encryption; Shadow Document Object Model(DOM)","Password;Encryption;Browsers;Servers","","6","","","","16 Sep 2018","","","TUP","TUP Journals"
"Control techniques of the auxiliary-resonant commutated pole with special regards on the dual-active bridge DC-DC converter","J. Voss; J. Henn; R. W. De Doncker","Rheinisch-Westfalische Technische Hochschule Aachen, Aachen, Nordrhein-Westfalen, DE; Rheinisch-Westfalische Technische Hochschule Aachen, Aachen, Nordrhein-Westfalen, DE; Rheinisch-Westfalische Technische Hochschule Aachen, Aachen, Nordrhein-Westfalen, DE",CPSS Transactions on Power Electronics and Applications,"7 Feb 2019","2018","3","4","352","361","In this work, a dual-active bridge dc-dc converter with auxiliary-resonant commutated pole is presented. The paper focuses on the control strategies of the auxiliary-resonant commutated pole to allow soft turn on and soft turn off of the main switches, and thus increasing the efficiency of the converter. These strategies are developed for a high-power IGCT-based dual-active bridge dc-dc converter. Two boosting strategies, constant time magnetization and constant current boosting are presented and tested. Besides its main objective to reduce the switching losses, the ARCP also allows balancing of the dc-link voltages in case of imbalanced loads. Strategies for boost current control and active dc-link balancing are introduced, presented and experimentally verified on a small-scale laboratory setup.","2475-742X","","10.24295/CPSSTPEA.2018.00034","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8636487","DC-DC power converters;field programmable gate arrays;resonant inverters;soft-switching;zero-voltage switching","Optical switches;Legged locomotion;Bridge circuits;Capacitors;Boosting;Magnetization","","6","","","","7 Feb 2019","","","CPSS","CPSS Journals"
"Revocable hierarchical identity-based broadcast encryption","D. Li; J. Liu; Z. Zhang; Q. Wu; W. Liu","Beihang University, Beijing, CN; Beihang University, Beijing, CN; Beihang University, Beijing, CN; Beihang University, Beijing, CN; Beihang University, Beijing, CN",Tsinghua Science and Technology,"16 Sep 2018","2018","23","5","539","549","Hierarchical Identity-Based Broadcast Encryption (HIBBE) organizes users into a tree-like structure, and it allows users to delegate their decryption ability to subordinates and enable encryption to any subset of users while only intended users can decrypt. However, current HIBBE schemes do not support efficient revocation of private keys. Here, a new primitive called Revocable Hierarchical Identity-Based Broadcast Encryption (RHIBBE) is formalized that allows revocation of the HIBBE. Ciphertext indistinguishability is defined against the selectively Bounded Revocable Identity-Vector-Set and Chosen-Plaintext Attack (IND-sBRIVS-CPA). An IND-sBRIVS-CPA secure RHIBBE scheme is constructed with efficient revocation on prime-order bilinear groups. The unbounded version of the scheme is also shown to be secure but a little weaker than the former under the decisional n-Weak Bilinear Diffie-Hellman inversion assumption.","1007-0214","","10.26599/TST.2018.9010023","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8450867","Revocable Hierarchical Identity-Based Broadcast Encryption (RHIBBE); revocation; provable security","Encryption;Identity-based encryption;Generators;Bandwidth","","6","","","","16 Sep 2018","","","TUP","TUP Journals"
"Exact mean packet delay for delayed report messages multipoint control protocol in EPON","S. Miyata; K. -I. Baba; K. Yamaoka","Shibaura Kogyo Daigaku, Koto-ku, Tokyo, JP; Kogakuin Daigaku, Shinjuku-ku, Tokyo, JP; Tokyo Kogyo Daigaku, Meguro-ku, Tokyo, JP",Journal of Optical Communications and Networking,"22 Mar 2018","2018","10","3","209","219","The infrastructure to develop the next generation optical access network is the Ethernet passive optical network (EPON). Interleaved polling with adaptive cycle time (IPACT) is a common polling method of an EPON. However, the mean waiting time of packets (= the mean packet delay) with IPACT is large depending on the arriving time of the packets. In this paper, a novel media access method for IPACT is proposed in order to minimize the mean packet delay. The mean packet delay with the proposed method is also derived as the exact solution. This solution is based on the non-trivial simplification of the previous work on the analytical solution for general IPACT. We confirm a close match between simulation and our theoretical results and show the effectiveness of our method.","1943-0639","","10.1364/JOCN.10.000209","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8320626","EPON; IPACT; M/G/1 model; Mean packetdelay; MPCP; Reservation interval","Delays;EPON;IEEE 802.3 Standard;Optical network units;Logic gates;Passive optical networks;Optical fibers","","6","","","","22 Mar 2018","","","IEEE","IEEE Journals"
