"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Henry S. Kaplan Distinguished Scientist Award","",,Journal of Radiation Research,"18 Jan 2018","2014","55","1","203","203","","1349-9157","","10.1093/jrr/rrt148","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8154331","","","","","","","","18 Jan 2018","","","OUP","OUP Journals"
"Preface","",,Journal of Radiation Research,"18 Jan 2018","2014","55","suppl_1","i1","i8","","1349-9157","","10.1093/jrr/rru004","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8206933","","","","","","","","18 Jan 2018","","","OUP","OUP Journals"
"Editorial","K. Komatsu",NA,Journal of Radiation Research,"18 Jan 2018","2014","55","1","1","1","","1349-9157","","10.1093/jrr/rrt215","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8154332","","","","","","","","18 Jan 2018","","","OUP","OUP Journals"
"2014 JRR Terashima Award","",,Journal of Radiation Research,"18 Jan 2018","2014","55","6","1203","1203","","1349-9157","","10.1093/jrr/rru103","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8150367","","","","","","","","18 Jan 2018","","","OUP","OUP Journals"
"Session 1: DNA repair","G. Iliakis",NA,Journal of Radiation Research,"18 Jan 2018","2014","55","suppl_1","i9","i11","","1349-9157","","10.1093/jrr/rrt206","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8206918","","","","","","","","18 Jan 2018","","","OUP","OUP Journals"
"Author Index","",,Journal of Radiation Research,"18 Jan 2018","2014","55","suppl_1","i55","i57","","1349-9157","","10.1093/jrr/rru016","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8206934","","","","","","","","18 Jan 2018","","","OUP","OUP Journals"
"Multilayer networks","M. Kivelä; A. Arenas; M. Barthelemy; J. P. Gleeson; Y. Moreno; M. A. Porter",NA; NA; NA; NA; NA; NA,Journal of Complex Networks,"18 Jan 2018","2014","2","3","203","271","In most natural and engineered systems, a set of entities interact with each other in complicated patterns that can encompass multiple types of relationships, change in time and include other types of complications. Such systems include multiple subsystems and layers of connectivity, and it is important to take such ‘multilayer’ features into account to try to improve our understanding of complex systems. Consequently, it is necessary to generalize ‘traditional’ network theory by developing (and validating) a framework and associated tools to study multilayer systems in a comprehensive fashion. The origins of such efforts date back several decades and arose in multiple disciplines, and now the study of multilayer networks has become one of the most important directions in network science. In this paper, we discuss the history of multilayer networks (and related concepts) and review the exploding body of work on such networks. To unify the disparate terminology in the large body of recent work, we discuss a general framework for multilayer networks, construct a dictionary of terminology to relate the numerous existing concepts to each other and provide a thorough discussion that compares, contrasts and translates between related notions such as multilayer networks, multiplex networks, interdependent networks, networks of networks and many others. We also survey and discuss existing data sets that can be represented as multilayer networks. We review attempts to generalize single-layer-network diagnostics to multilayer networks. We also discuss the rapidly expanding research on multilayer-network models and notions like community structure, connected components, tensor decompositions and various types of dynamical processes on multilayer networks. We conclude with a summary and an outlook.","2051-1329","","10.1093/comnet/cnu016","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8155443","multilayer networks;dynamical systems on networks;models of networks;structural analysis of networks;mathematical analysis and simulations of networks;data analysis","","","291","2","","","18 Jan 2018","","","OUP","OUP Journals"
"A review on HVDC circuit breakers","A. Mokhberdoran; A. Carvalho; H. Leite; N. Silva","Efacec Engenharia e Sistemas S.A., Portugal; Department of Electrical and Computer Engineering, University of Porto, Portugal; Department of Electrical and Computer Engineering, University of Porto, Portugal; Efacec Engenharia e Sistemas S.A., Portugal",3rd Renewable Power Generation Conference (RPG 2014),"22 Dec 2014","2014","","","1","6","The increasing interest in development, operation and integration of large amount of renewable energy resources like offshore wind farms and photovoltaic generation in deserts leads to an emerging demand on development of multi-terminal high voltage direct current (MTDC) systems. Due to preformed studies, voltage source converter based HVDC (VSC-HVDC) system is the best option for realising future multi-terminal HVDC system to integrate bulk amount of energy over long distances to the AC grid. The most important drawback of VSC-HVDC systems is their need for fast HVDC circuit breakers. This paper aims at summarizing HVDC circuit breakers technologies including recent significant attempts in development of modern HVDC circuit breaker. A brief functional analysis of each technology is presented. Additionally, different technologies based on derived information from literatures are compared. Finally, recommendations for improvement of circuit breakers are presented.","","978-1-84919-917-9","10.1049/cp.2014.0859","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6993252","HVDC;HVDC fault current;Solid-state DC circuit breaker;Hybrid circuit breaker","","","72","1","","","22 Dec 2014","","","IET","IET Conferences"
"Optimization approach of background value and initial item for improving prediction precision of GM(1,1) model","Y. Wang; Q. Liu; J. Tang; W. Cao; X. Li","School of Business, Jiangnan University, Wuxi 214122, China; School of Business, Jiangnan University, Wuxi 214122, China; School of Business, Jiangnan University, Wuxi 214122, China; School of Business, Jiangnan University, Wuxi 214122, China; School of Business, Jiangnan University, Wuxi 214122, China",Journal of Systems Engineering and Electronics,"4 Mar 2014","2014","25","1","77","82","A combination method of optimization of the background value and optimization of the initial item is proposed. The sequences of the unbiased exponential distribution are simulated and predicted through the optimization of the background value in grey differential equations. The principle of the new information priority in the grey system theory and the rationality of the initial item in the original GM(1,1) model are fully expressed through the improvement of the initial item in the proposed time response function. A numerical example is employed to illustrate that the proposed method is able to simulate and predict sequences of raw data with the unbiased exponential distribution and has better simulation performance and prediction precision than the original GM(1,1) model relatively.","1004-4132","","10.1109/JSEE.2014.00009","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6754230","background value;initial item;grey system theory;grey prediction","Mathematical model;Predictive models;Optimization;Time factors;Data models;Sequential analysis","","44","","","","4 Mar 2014","","","BIAI","BIAI Journals"
"Dache: A data aware caching for big-data applications using the MapReduce framework","Y. Zhao; J. Wu; C. Liu","Google Inc, Mountain View, CA, US; Temple University, Philadelphia, PA, US; Sun Yat-Sen University, Guangzhou 510275, China",Tsinghua Science and Technology,"7 Feb 2014","2014","19","1","39","50","The buzz-word big-data refers to the large-scale distributed data processing applications that operate on exceptionally large amounts of data. Google's MapReduce and Apache's Hadoop, its open-source implementation, are the defacto software systems for big-data applications. An observation of the MapReduce framework is that the framework generates a large amount of intermediate data. Such abundant information is thrown away after the tasks finish, because MapReduce is unable to utilize them. In this paper, we propose Dache, a data-aware cache framework for big-data applications. In Dache, tasks submit their intermediate results to the cache manager. A task queries the cache manager before executing the actual computing work. A novel cache description scheme and a cache request and reply protocol are designed. We implement Dache by extending Hadoop. Testbed experiment results demonstrate that Dache significantly improves the completion time of MapReduce jobs.","1007-0214","","10.1109/TST.2014.6733207","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6733207","big-data;MapReduce;Hadoop;caching","Context;Distributed databases;Google;Protocols;Programming;Java;Open source software","","31","1","","","7 Feb 2014","","","TUP","TUP Journals"
